resistance_ohm,energy_N2_J,energy_N4_J,energy_N6_J
1.000000000000e+03,2.296080248545e-10,5.288299574318e-10,8.282756871357e-10
1.122018454302e+03,2.576244410982e-10,5.933569711788e-10,9.293406056810e-10
1.258925411794e+03,2.890593771355e-10,6.657574713398e-10,1.042737309233e-09
1.412537544623e+03,3.243299554646e-10,7.469921685406e-10,1.169970503101e-09
1.584893192461e+03,3.639041952256e-10,8.381389978279e-10,1.312728494401e-09
1.778279410039e+03,4.083072225294e-10,9.404074222115e-10,1.472905594862e-09
1.995262314969e+03,4.581282385623e-10,1.055154481501e-09,1.652627257188e-09
2.238721138568e+03,5.140283379268e-10,1.183902799399e-09,1.854278278518e-09
2.511886431510e+03,5.767492809654e-10,1.328360787785e-09,2.080534445228e-09
2.818382931264e+03,6.471233364682e-10,1.490445316305e-09,2.334398038982e-09
3.162277660168e+03,7.260843253739e-10,1.672307148057e-09,2.619237675175e-09
3.548133892336e+03,8.146800120046e-10,1.876359478907e-09,2.938833002401e-09
3.981071705535e+03,9.140860072608e-10,2.105309959123e-09,3.297424856072e-09
4.466835921510e+03,1.025621368262e-09,2.362196622240e-09,3.699771531709e-09
5.011872336273e+03,1.150766101430e-09,2.650428197907e-09,4.151211924606e-09
5.623413251903e+03,1.291180801273e-09,2.973829343639e-09,4.657736373690e-09
6.309573444802e+03,1.448728685464e-09,3.336691395683e-09,5.226066149639e-09
7.079457843841e+03,1.625500318598e-09,3.743829312417e-09,5.863742642003e-09
7.943282347243e+03,1.823841352714e-09,4.200645565888e-09,6.579227428797e-09
8.912509381337e+03,2.046383652661e-09,4.713201829296e-09,7.382014556409e-09
1.000000000000e+04,2.296080219338e-09,5.288299411666e-09,8.282756519728e-09
1.122018454302e+04,2.576244374213e-09,5.933569507021e-09,9.293405614134e-09
1.258925411794e+04,2.890593725065e-09,6.657574455611e-09,1.042737253503e-08
1.412537544623e+04,3.243299496370e-09,7.469921360870e-09,1.169970432941e-08
1.584893192461e+04,3.639041878891e-09,8.381389569711e-09,1.312728406074e-08
1.778279410039e+04,4.083072132933e-09,9.404073707757e-09,1.472905483664e-08
1.995262314969e+04,4.581282269347e-09,1.055154416747e-08,1.652627117198e-08
2.238721138568e+04,5.140283232885e-09,1.183902717878e-08,1.854278102279e-08
2.511886431510e+04,5.767492625368e-09,1.328360685156e-08,2.080534223354e-08
2.818382931264e+04,6.471233132679e-09,1.490445187102e-08,2.334397759656e-08
3.162277660168e+04,7.260842961663e-09,1.672306985398e-08,2.619237323521e-08
3.548133892336e+04,8.146799752343e-09,1.876359274130e-08,2.938832559689e-08
3.981071705535e+04,9.140859609695e-09,2.105309701322e-08,3.297424298722e-08
4.466835921510e+04,1.025621309984e-08,2.362196297685e-08,3.699770830036e-08
5.011872336273e+04,1.150766028062e-08,2.650427789311e-08,4.151211041236e-08
5.623413251903e+04,1.291180708908e-08,2.973828829241e-08,4.657735261571e-08
6.309573444802e+04,1.448728569182e-08,3.336690748086e-08,5.226064749532e-08
7.079457843841e+04,1.625500172207e-08,3.743828497127e-08,5.863740879327e-08
7.943282347243e+04,1.823841168417e-08,4.200644539481e-08,6.579225209654e-08
8.912509381337e+04,2.046383420642e-08,4.713200537102e-08,7.382011762584e-08
1.000000000000e+05,2.296079927240e-08,5.288297784854e-08,8.282753002383e-08
1.122018454302e+05,2.576244006477e-08,5.933567458936e-08,9.293401185877e-08
1.258925411794e+05,2.890593262106e-08,6.657571877155e-08,1.042736695993e-07
1.412537544623e+05,3.243298913530e-08,7.469918114685e-08,1.169969731041e-07
1.584893192461e+05,3.639041145124e-08,8.381385482866e-08,1.312727522384e-07
1.778279410039e+05,4.083071209154e-08,9.404068562525e-08,1.472904371093e-07
1.995262314969e+05,4.581281106350e-08,1.055153768973e-07,1.652625716451e-07
2.238721138568e+05,5.140281768718e-08,1.183901902338e-07,1.854276338700e-07
2.511886431510e+05,5.767490782034e-08,1.328359658396e-07,2.080532002937e-07
2.818382931264e+05,6.471230811978e-08,1.490443894408e-07,2.334394964030e-07
3.162277660168e+05,7.260840039960e-08,1.672305357882e-07,2.619233803632e-07
3.548133892336e+05,8.146796073975e-08,1.876357225050e-07,2.938828127839e-07
3.981071705535e+05,9.140854978677e-08,2.105307121459e-07,3.297418718546e-07
4.466835921510e+05,1.025620726941e-07,2.362193049514e-07,3.699763803870e-07
5.011872336273e+05,1.150765294009e-07,2.650423699660e-07,4.151202194207e-07
5.623413251903e+05,1.291179784726e-07,2.973823680045e-07,4.657724121545e-07
6.309573444802e+05,1.448727405616e-07,3.336684264741e-07,5.226050721856e-07
7.079457843841e+05,1.625498707235e-07,3.743820333822e-07,5.863723214990e-07
7.943282347243e+05,1.823839323946e-07,4.200634260713e-07,6.579202965158e-07
8.912509381337e+05,2.046381098335e-07,4.713187594389e-07,7.381983749364e-07
1.000000000000e+06,2.296077003269e-07,5.288281487400e-07,8.282717723033e-07
1.122018454302e+06,2.576240324906e-07,5.933546936649e-07,9.293356753733e-07
1.258925411794e+06,2.890588626563e-07,6.657546034052e-07,1.042731099764e-06
1.412537544623e+06,3.243293076710e-07,7.469885570156e-07,1.169962682200e-06
1.584893192461e+06,3.639033795567e-07,8.381344497619e-07,1.312718643325e-06
1.778279410039e+06,4.083061954582e-07,9.404016945221e-07,1.472893185825e-06
1.995262314969e+06,4.581269452669e-07,1.055147267923e-06,1.652611624870e-06
2.238721138568e+06,5.140267093556e-07,1.183893714025e-06,1.854258584094e-06
2.511886431510e+06,5.767472301382e-07,1.328349344302e-06,2.080509630934e-06
2.818382931264e+06,6.471207538142e-07,1.490430901797e-06,2.334366770703e-06
3.162277660168e+06,7.260810728529e-07,1.672288989944e-06,2.619198269875e-06
3.548133892336e+06,8.146759156959e-07,1.876336603203e-06,2.938783336339e-06
3.981071705535e+06,9.140808480149e-07,2.105281137727e-06,3.297362248662e-06
4.466835921510e+06,1.025614869909e-06,2.362160306341e-06,3.699692598471e-06
5.011872336273e+06,1.150757915901e-06,2.650382433824e-06,4.151112390854e-06
5.623413251903e+06,1.291170489825e-06,2.973771666403e-06,4.657610838315e-06
6.309573444802e+06,1.448715694968e-06,3.336618694412e-06,5.225907785364e-06
7.079457843841e+06,1.625483951607e-06,3.743737659908e-06,5.863542814693e-06
7.943282347243e+06,1.823820729634e-06,4.200530002783e-06,6.578975213486e-06
8.912509381337e+06,2.046357663950e-06,4.713056090518e-06,7.381696121372e-06
1.000000000000e+07,2.296047465059e-06,5.288115579419e-06,8.282354341660e-06
1.122018454302e+07,2.576203087559e-06,5.933337570266e-06,9.292897476866e-06
1.258925411794e+07,2.890541675562e-06,6.657281750288e-06,1.042673025024e-05
1.412537544623e+07,3.243233867260e-06,7.469551857836e-06,1.169889209959e-05
1.584893192461e+07,3.638959111716e-06,8.380922967957e-06,1.312625638100e-05
1.778279410039e+07,4.082967730391e-06,9.403484278193e-06,1.472775380032e-05
1.995262314969e+07,4.581150544995e-06,1.055079927668e-05,1.652462300409e-05
