time_s,x_ball_m,charge_C,current_A,voltage_V,power_W,energy_J,voc_estimate_V,signed_coupling,abs_coupling
0.000000000000e+00,-1.600000000000e-02,-7.239214706317e-13,-1.477064577873e-10,-1.477064577873e-02,2.181719767207e-12,0.000000000000e+00,-3.038391284788e-01,7.920489931104e-06,7.920489931104e-06
2.300000000000e-03,-1.577000000000e-02,-1.063646323542e-12,-1.796417416694e-10,-1.796417416694e-02,3.227115535002e-12,6.220160597540e-15,-4.464260076066e-01,1.163745010702e-05,1.163745010702e-05
4.600000000000e-03,-1.554000000000e-02,-1.550273482311e-12,-2.560472344164e-10,-2.560472344164e-02,6.556018625228e-12,1.747076488180e-14,-6.506696691260e-01,1.696168162603e-05,1.696168162603e-05
6.900000000000e-03,-1.531000000000e-02,-2.241463601858e-12,-3.618870904543e-10,-3.618870904543e-02,1.309622662374e-11,4.007084691812e-14,-9.407710296410e-01,2.452405490054e-05,2.452405490054e-05
9.200000000000e-03,-1.508000000000e-02,-3.214954098400e-12,-5.071859443318e-10,-5.071859443318e-02,2.572375821277e-11,8.471382948011e-14,-1.349357480038e+00,3.517510199431e-05,3.517510199431e-05
1.150000000000e-02,-1.485000000000e-02,-4.574518945784e-12,-7.048610950730e-10,-7.048610950730e-02,4.968291633476e-11,1.714315052098e-13,-1.919984288467e+00,5.005022329026e-05,5.005022329026e-05
1.380000000000e-02,-1.462000000000e-02,-6.457315135736e-12,-9.713670090128e-10,-9.713670090128e-02,9.435538661984e-11,3.370755536076e-13,-2.710218003954e+00,7.065006577293e-05,7.065006577293e-05
1.610000000000e-02,-1.439000000000e-02,-9.042807187243e-12,-1.327419213700e-09,-1.327419213700e-01,1.762041768900e-10,6.482190516438e-13,-3.795382187485e+00,9.893816688843e-05,9.893816688843e-05
1.840000000000e-02,-1.416000000000e-02,-1.256344351876e-11,-1.798785933642e-09,-1.798785933642e-01,3.235630835068e-10,1.222951401100e-12,-5.273038422386e+00,1.374577656931e-04,1.374577656931e-04
2.070000000000e-02,-1.393000000000e-02,-1.731722248200e-11,-2.417126917435e-09,-2.417126917435e-01,5.842502534991e-10,2.266936738657e-12,-7.268260439922e+00,1.894692889598e-04,1.894692889598e-04
2.300000000000e-02,-1.370000000000e-02,-2.368222733896e-11,-3.220848349275e-09,-3.220848349275e-01,1.037386408903e-09,4.131818900419e-12,-9.939734635618e+00,2.591093796689e-04,2.591093796689e-04
