electrode_count,position_m,raw_QA_C
2,0.008,5.2376910572536854e-06
2,0.00905,5.148449558719205e-06
2,0.0101,5.015477767093849e-06
2,0.01115,4.828597309280799e-06
2,0.012199999999999999,4.581554738129072e-06
2,0.01325,4.353366156245308e-06
2,0.0143,4.067677287743632e-06
2,0.015349999999999999,3.7417680247649635e-06
2,0.016399999999999998,3.439664553085091e-06
2,0.01745,3.14115712660247e-06
2,0.0185,2.8130412145143805e-06
2,0.019549999999999998,2.510969956875783e-06
2,0.0206,2.190435198167035e-06
2,0.02165,1.8966957457311825e-06
2,0.022699999999999998,1.5917626765410453e-06
2,0.02375,1.3094444535959128e-06
2,0.0248,1.056094427118562e-06
2,0.025849999999999998,8.666726385139888e-07
2,0.0269,6.932733018693253e-07
2,0.02795,5.565826901471083e-07
2,0.028999999999999998,4.681367225622485e-07
4,0.008,5.2860326768522535e-06
4,0.01115,4.869171873512313e-06
4,0.0143,4.129579667060022e-06
4,0.01745,3.2311442126086713e-06
4,0.0206,2.3219420248145773e-06
4,0.02375,1.4789035638057372e-06
4,0.0269,9.335996223523248e-07
4,0.03005,8.314045056100179e-07
4,0.0332,1.208665975904072e-06
4,0.03635,1.9412507444163404e-06
4,0.0395,2.790688573262346e-06
4,0.04265,3.674123401233555e-06
4,0.0458,4.439858459014386e-06
4,0.04895,4.865227480322944e-06
4,0.0521,4.762444222935147e-06
4,0.05525,4.177027702640935e-06
4,0.0584,3.3243518184772978e-06
4,0.06155,2.4077562153275105e-06
4,0.06470000000000001,1.5075682999176739e-06
4,0.06785,8.029140313791548e-07
4,0.07100000000000001,4.2879728884323367e-07
6,0.008,5.292426382366324e-06
6,0.01325,4.421782118635291e-06
6,0.0185,2.9437103358948126e-06
6,0.02375,1.486277435024161e-06
6,0.028999999999999998,8.225911199616333e-07
6,0.034249999999999996,1.4472306302107257e-06
6,0.0395,2.8288463906857658e-06
6,0.04475,4.253117271331214e-06
6,0.049999999999999996,4.944261132031658e-06
6,0.055249999999999994,4.2506162582132e-06
6,0.06049999999999999,2.831874205865113e-06
6,0.06575,1.4168998960563954e-06
6,0.07100000000000001,7.782464346768633e-07
6,0.07624999999999998,1.401346808525141e-06
6,0.08149999999999999,2.792015442161635e-06
6,0.08675,4.21391312401379e-06
6,0.092,4.892024531803975e-06
6,0.09725,4.176069161171505e-06
6,0.10249999999999998,2.7153656903314547e-06
6,0.10774999999999998,1.2395581743373396e-06
6,0.11299999999999999,4.260828659298828e-07
