time_s,Q_analytical_nC,Isrc_analytical_uA,Iload_analytical_uA,Q_empirical_nC,Isrc_empirical_uA,Iload_empirical_uA
0.000000000000e+00,-3.250000000000e+02,1.542760626931e-08,0.000000000000e+00,-3.250000000000e+02,5.363839047575e-07,0.000000000000e+00
1.387657162917e-04,-3.249999999979e+02,1.234218890284e-07,8.580803608854e-11,-3.249999999256e+02,1.093869569577e-06,1.007485469495e-09
2.775314325833e-04,-3.249999999657e+02,6.171094451418e-07,5.433452656828e-10,-3.249999996964e+02,2.272148615090e-06,3.086416390682e-09
4.162971488750e-04,-3.249999998266e+02,1.851328118585e-06,2.068151188213e-09,-3.249999992950e+02,3.619262224988e-06,6.723453127741e-09
5.550628651666e-04,-3.249999994519e+02,4.196344010124e-06,5.803014892086e-09,-3.249999986920e+02,5.219667796943e-06,1.217754118233e-08
6.938285814583e-04,-3.249999986620e+02,8.022421919482e-06,1.334695601320e-08,-3.249999978464e+02,7.157866313556e-06,1.981172112358e-08
8.325942977500e-04,-3.249999972255e+02,1.369982838111e-05,2.675466110827e-08,-3.249999967054e+02,9.518423809557e-06,3.009306706499e-08
9.713600140416e-04,-3.249999948598e+02,2.159882819472e-05,4.853592045675e-08,-3.249999952047e+02,1.238598351487e-05,4.359264598823e-08
1.110125730333e-03,-3.249999912311e+02,3.208968746109e-05,8.165506529085e-08,-3.249999932679e+02,1.584528125029e-05,6.098549413604e-08
1.248891446625e-03,-3.249999859539e+02,4.554267163046e-05,1.295304063912e-07,-3.249999908071e+02,1.998116234102e-05,8.305061340115e-08
1.387657162917e-03,-3.249999785916e+02,6.232804593623e-05,1.960336724383e-07,-3.249999877225e+02,2.487859614500e-05,1.106709871505e-07
1.526422879208e-03,-3.249999686560e+02,8.281607582865e-05,2.854894495942e-07,-3.249999839025e+02,3.062269166541e-05,1.448336146567e-07
1.665188595500e-03,-3.249999556075e+02,1.073770271916e-04,4.026746221790e-07,-3.249999792238e+02,3.729871446423e-05,1.866295655879e-07
1.803954311792e-03,-3.249999388555e+02,1.363811646081e-04,5.528178131003e-07,-3.249999735510e+02,4.499210032316e-05,2.372540533253e-07
1.942720028083e-03,-3.249999177575e+02,1.701987522272e-04,7.415988244387e-07,-3.249999667370e+02,5.378847150669e-05,2.980065266821e-07
2.081485744375e-03,-3.249998916199e+02,2.092000561497e-04,9.751480807342e-07,-3.249999586230e+02,6.377365345880e-05,3.702907818793e-07
2.220251460667e-03,-3.249998596979e+02,2.537553400912e-04,1.260046071755e-06,-3.249999490378e+02,7.503368846390e-05,4.556150931424e-07
2.359017176958e-03,-3.249998211949e+02,3.042348677672e-04,1.603322794751e-06,-3.249999377988e+02,8.765485299406e-05,5.555923623010e-07
2.497782893250e-03,-3.249997752631e+02,3.610089028931e-04,2.012457198864e-06,-3.249999247109e+02,1.017236707195e-04,6.719402869630e-07
2.636548609542e-03,-3.249997210035e+02,4.244477083172e-04,2.495376629699e-06,-3.249999095673e+02,1.173269307229e-04,8.064815477789e-07
2.775314325833e-03,-3.249996574656e+02,4.949215466708e-04,3.060456274437e-06,-3.249998921490e+02,1.345517031126e-04,9.611440163787e-07
2.914080042125e-03,-3.249995836473e+02,5.728006795009e-04,3.716518607510e-06,-3.249998722249e+02,1.534853518153e-04,1.137960980607e-06
3.052845758417e-03,-3.249994984954e+02,6.584553664032e-04,4.472832835880e-06,-3.249998495520e+02,1.742155512734e-04,1.339071387706e-06
3.191611474708e-03,-3.249994009052e+02,7.522558676237e-04,5.339114346080e-06,-3.249998238746e+02,1.968303050930e-04,1.566720109034e-06
3.330377191000e-03,-3.249992897207e+02,8.545724412400e-04,6.325524151809e-06,-3.249997949254e+02,2.214179568860e-04,1.823258222696e-06
3.469142907292e-03,-3.249991637345e+02,9.657753444626e-04,7.442668341259e-06,-3.249997624242e+02,2.480672087017e-04,2.111143313897e-06
3.607908623583e-03,-3.249990216877e+02,1.086234832116e-03,8.701597525006e-06,-3.249997260789e+02,2.768671359885e-04,2.432939795578e-06
3.746674339875e-03,-3.249988622702e+02,1.216321158159e-03,1.011380628457e-05,-3.249996855849e+02,3.079072021222e-04,2.791319246868e-06
3.885440056167e-03,-3.249986841203e+02,1.356404574163e-03,1.169123262167e-05,-3.249996406250e+02,3.412772761873e-04,3.189060771093e-06
4.024205772458e-03,-3.249984858253e+02,1.506855328882e-03,1.344625740694e-05,-3.249995908697e+02,3.770676462039e-04,3.629051372501e-06
4.162971488750e-03,-3.249982659206e+02,1.668043669552e-03,1.539170382988e-05,-3.249995359769e+02,4.153690356078e-04,4.114286350878e-06
4.301737205041e-03,-3.249980228907e+02,1.840339839939e-03,1.754083684905e-05,-3.249994755917e+02,4.562726186458e-04,4.647869715386e-06
4.440502921333e-03,-3.249977551685e+02,2.024114080989e-03,1.990736264219e-05,-3.249994093469e+02,4.998700381571e-04,5.233014618376e-06
4.579268637625e-03,-3.249974611354e+02,2.219736630399e-03,2.250542805712e-05,-3.249993368621e+02,5.462534164152e-04,5.873043806369e-06
4.718034353916e-03,-3.249971391218e+02,2.427577721741e-03,2.534962006251e-05,-3.249992577444e+02,5.955153746431e-04,6.571390089229e-06
4.856800070208e-03,-3.249967874063e+02,2.648007584472e-03,2.845496519880e-05,-3.249991715878e+02,6.477490473254e-04,7.331596829669e-06
4.995565786500e-03,-3.249964042165e+02,2.881396444360e-03,3.183692903012e-05,-3.249990779736e+02,7.030480973867e-04,8.157318450372e-06
5.134331502791e-03,-3.249959877282e+02,3.128114521534e-03,3.551141559582e-05,-3.249989764699e+02,7.615067324548e-04,9.052320959919e-06
5.273097219083e-03,-3.249955360663e+02,3.388532030706e-03,3.949476686175e-05,-3.249988666316e+02,8.232197191722e-04,1.002048249696e-05
