electrode_count,load,resistance_ohm,event_count,source_charge_peak_to_peak_nC,modeled_total_transfer_charge_nC,source_current_peak_uA,load_current_peak_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,power_peak_mW,power_mean_mW,energy_uJ,duration_s
2,100K,1.000000000000e+05,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,8.000016347623e+00,2.368556771279e+00,8.000016347623e-01,2.368556771279e-01,6.400026156223e-03,5.610061178773e-04,4.053357513445e-01,7.224555320337e-01
2,200K,2.000000000000e+05,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,8.000013573698e+00,2.368556320494e+00,1.600002714740e+00,4.737112640988e-01,1.280004343587e-02,1.122011808671e-03,8.106711941140e-01,7.224555320337e-01
2,500K,5.000000000000e+05,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,7.999973196570e+00,2.368551993200e+00,3.999986598285e+00,1.184275996600e+00,3.199978557292e-02,2.805019272245e-03,2.026670579910e+00,7.224555320337e-01
2,1M,1.000000000000e+06,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,7.999841413176e+00,2.368536156033e+00,7.999841413176e+00,2.368536156033e+00,6.399746263597e-02,5.609963522435e-03,4.053286955203e+00,7.224555320337e-01
2,2M,2.000000000000e+06,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,7.999308506571e+00,2.368472744000e+00,1.599861701314e+01,4.736945488001e+00,1.279778731666e-01,1.121932627814e-02,8.106139846990e+00,7.224555320337e-01
2,5M,5.000000000000e+06,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,7.995573582186e+00,2.368029453146e+00,3.997786791093e+01,1.184014726573e+01,3.196459845408e-01,2.803781745484e-02,2.025776447344e+01,7.224555320337e-01
2,10M,1.000000000000e+07,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,7.982397542402e+00,2.366455152157e+00,7.982397542402e+01,2.366455152157e+01,6.371867052495e-01,5.600109987171e-02,4.046167620864e+01,7.224555320337e-01
2,20M,2.000000000000e+07,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,7.931996949963e+00,2.360290459948e+00,1.586399389993e+02,4.720580919896e+01,1.258331512284e+00,1.114194211064e-01,8.050228567812e+01,7.224555320337e-01
2,50M,5.000000000000e+07,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,7.644597643735e+00,2.321837053817e+00,3.822298821867e+02,1.160918526908e+02,2.921993656730e+00,2.695463652239e-01,1.947514919865e+02,7.224555320337e-01
2,100M,1.000000000000e+08,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,6.996158081383e+00,2.221594594334e+00,6.996158081383e+02,2.221594594334e+02,4.894622789969e+00,4.935482541572e-01,3.565963829067e+02,7.224555320337e-01
2,200M,2.000000000000e+08,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,5.800906954990e+00,2.006326073787e+00,1.160181390998e+03,4.012652147574e+02,6.730104300090e+00,8.050688628715e-01,5.816749263095e+02,7.224555320337e-01
2,500M,5.000000000000e+08,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,3.746204122471e+00,1.562793070297e+00,1.873102061236e+03,7.813965351483e+02,7.017022663611e+00,1.221161090284e+00,8.823071338762e+02,7.224555320337e-01
2,1G,1.000000000000e+09,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,2.359692071403e+00,1.160639438723e+00,2.359692071403e+03,1.160639438723e+03,5.568146671843e+00,1.347083906720e+00,9.732779152326e+02,7.224555320337e-01
2,2G,2.000000000000e+09,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,1.366697910319e+00,7.482529805475e-01,2.733395820637e+03,1.496505961095e+03,3.735726356139e+00,1.119765045796e+00,8.090277279731e+02,7.224555320337e-01
2,5G,5.000000000000e+09,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,6.104110649749e-01,3.603594433682e-01,3.052055324874e+03,1.801797216841e+03,1.863008341219e+00,6.492946421233e-01,4.691180988534e+02,7.224555320337e-01
2,10G,1.000000000000e+10,1,3.800000000000e+02,3.800000000000e+02,8.000026026059e+00,3.192356929179e-01,1.976059018540e-01,3.192356929179e+03,1.976059018540e+03,1.019114276327e+00,3.904809244752e-01,2.821268733807e+02,7.224555320337e-01
4,100K,1.000000000000e+05,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,8.009681225530e+00,2.909348382894e+00,8.009681225530e-01,2.909348382894e-01,6.415499333461e-03,8.464308013048e-04,6.115595781845e-01,7.224555320337e-01
4,200K,2.000000000000e+05,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,8.009678632700e+00,2.909347827345e+00,1.601935726540e+00,5.818695654690e-01,1.283099035983e-02,1.692860956095e-03,1.223118689252e+00,7.224555320337e-01
4,500K,5.000000000000e+05,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,8.009638145721e+00,2.909342501277e+00,4.004819072860e+00,1.454671250639e+00,3.207715161269e-02,4.232136894868e-03,3.057785527482e+00,7.224555320337e-01
4,1M,1.000000000000e+06,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,8.009507197535e+00,2.909323032891e+00,8.009507197535e+00,2.909323032891e+00,6.415220554736e-02,8.464160509712e-03,6.115489208363e+00,7.224555320337e-01
4,2M,2.000000000000e+06,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,8.008973337164e+00,2.909245137071e+00,1.601794667433e+01,5.818490274142e+00,1.282873078308e-01,1.692741453514e-02,1.223032346756e+01,7.224555320337e-01
4,5M,5.000000000000e+06,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,8.005231529757e+00,2.908700831870e+00,4.002615764879e+01,1.454350415935e+01,3.204186592251e-01,4.230270264661e-02,3.056436857774e+01,7.224555320337e-01
4,10M,1.000000000000e+07,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,7.992045011526e+00,2.906768134752e+00,7.992045011526e+01,2.906768134752e+01,6.387278346625e-01,8.449300989212e-02,6.104752970888e+01,7.224555320337e-01
4,20M,2.000000000000e+07,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,7.941592978635e+00,2.899200711420e+00,1.588318595727e+02,5.798401422840e+01,1.261377980766e+00,1.681072953019e-01,1.214601671467e+02,7.224555320337e-01
4,50M,5.000000000000e+07,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,7.653893975198e+00,2.852005380833e+00,3.826946987599e+02,1.426002690417e+02,2.929104649179e+00,4.066967346152e-01,2.938447928486e+02,7.224555320337e-01
4,100M,1.000000000000e+08,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,7.004744550160e+00,2.729121602240e+00,7.004744550160e+02,2.729121602240e+02,4.906644621300e+00,7.448104719812e-01,5.381372902539e+02,7.224555320337e-01
4,200M,2.000000000000e+08,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,5.807920407436e+00,2.469466560235e+00,1.161584081487e+03,4.938933120470e+02,6.746387891823e+00,1.219653018424e+00,8.812183740218e+02,7.224555320337e-01
4,500M,5.000000000000e+08,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,3.749818532717e+00,1.977468193638e+00,1.874909266358e+03,9.887340968190e+02,7.030569514153e+00,1.955190228425e+00,1.412646092960e+03,7.224555320337e-01
4,1G,1.000000000000e+09,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,2.361276224475e+00,1.532217717605e+00,2.361276224475e+03,1.532217717605e+03,5.575625408269e+00,2.347691134142e+00,1.696201291568e+03,7.224555320337e-01
4,2G,2.000000000000e+09,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,1.700889079163e+00,1.028425621614e+00,3.401778158325e+03,2.056851243228e+03,5.786047319229e+00,2.115318518384e+00,1.528291786883e+03,7.224555320337e-01
4,5G,5.000000000000e+09,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,9.094041168231e-01,5.175720110419e-01,4.547020584116e+03,2.587860055210e+03,4.135079238474e+00,1.339403933070e+00,9.677190856797e+02,7.224555320337e-01
4,10G,1.000000000000e+10,2,6.500000000000e+02,6.500000000000e+02,8.009692239488e+00,5.088262023450e-01,2.912362374970e-01,5.088262023450e+03,2.912362374970e+03,2.589041041928e+00,8.481854603140e-01,6.128223466604e+02,7.224555320337e-01
6,100K,1.000000000000e+05,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,8.060613871648e+00,3.176511306519e+00,8.060613871648e-01,3.176511306519e-01,6.497349598781e-03,1.009022408044e-03,7.290345735185e-01,7.224555320337e-01
6,200K,2.000000000000e+05,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,8.060607863384e+00,3.176510578886e+00,1.612121572677e+00,6.353021157772e-01,1.299467982545e-02,2.018043891555e-03,1.458068479046e+00,7.224555320337e-01
6,500K,5.000000000000e+05,3,8.418421052632e+02,8.418421052632e+02,8.060628139381e+00,8.060574905480e+00,3.176504034872e+00,4.030287452740e+00,1.588252017436e+00,3.248643390343e-02,5.045088941780e-03,3.645156178604e+00,7.224555320337e-01
