metric,value
experiment_points_raw,552000
experiment_points_used,3278
selected_start_s,7.736820000000e+01
selected_end_s,7.802360000000e+01
selected_duration_s,6.554000000000e-01
window_correlation_before_sign,-8.766328768031e-01
selected_charge_pp_nC,6.013588000000e+02
experiment_duration_used_s,6.554000000000e-01
simulation_duration_s,6.556854249492e-01
experiment_charge_pp_nC,6.013558514757e+02
simulation_charge_pp_nC,6.484227446515e+02
charge_pp_error_percent,7.826795575403e+00
rmse_nC,1.269687062679e+02
nrmse_percent_of_exp_pp,2.111373922051e+01
scaled_simulation_rmse_nC,1.196834940235e+02
scaled_simulation_nrmse_percent_of_exp_pp,1.990227478950e+01
correlation,8.766239982792e-01
