normalized_time,experiment_charge_nC,simulation_charge_nC,difference_nC
0.000000000000e+00,1.126169687500e+01,5.234881497262e-04,-1.126117338685e+01
5.002501250625e-04,1.029957056183e+01,4.792852401483e-04,-1.029909127659e+01
1.000500250125e-03,9.297934293688e+00,4.338451516669e-04,-9.297500448537e+00
1.500750375188e-03,8.255524638896e+00,3.871332727695e-04,-8.255137505623e+00
2.001000500250e-03,7.169581167149e+00,3.391140245222e-04,-7.169242053125e+00
2.501250625313e-03,6.044570311710e+00,2.897508335790e-04,-6.044280560876e+00
3.001500750375e-03,4.878606229665e+00,2.390061044416e-04,-4.878367223561e+00
3.501750875438e-03,3.672256754934e+00,1.868411909475e-04,-3.672069913743e+00
4.002001000500e-03,2.429569161144e+00,1.332163669661e-04,-2.429435944777e+00
4.502251125563e-03,1.148112582848e+00,7.809079628137e-05,-1.148034492052e+00
5.002501250625e-03,-1.689763116131e-01,2.142250163732e-05,1.689977341147e-01
5.502751375688e-03,-1.519136291618e+00,-3.683166707531e-05,1.519099459951e+00
6.003001500750e-03,-2.905277612232e+00,-9.671606551549e-05,2.905180896167e+00
6.503251625813e-03,-4.321982064472e+00,-1.582762884964e-04,4.321823788184e+00
7.003501750875e-03,-5.767989518211e+00,-2.215592045209e-04,5.767767959006e+00
7.503751875938e-03,-7.244224035462e+00,-2.866129912765e-04,7.243937422471e+00
8.004002001000e-03,-8.745800673773e+00,-3.534871721131e-04,8.745447186601e+00
8.504252126063e-03,-1.027278386537e+01,-4.222326535329e-04,1.027236163272e+01
9.004502251126e-03,-1.182414024357e+01,-4.929017637192e-04,1.182364734181e+01
9.504752376188e-03,-1.339569677185e+01,-5.655482921304e-04,1.339513122356e+01
1.000500250125e-02,-1.498708601648e+01,-6.402275301979e-04,1.498644578895e+01
1.050525262631e-02,-1.659599657172e+01,-7.169963131402e-04,1.659527957540e+01
1.100550275138e-02,-1.822011207949e+01,-7.959130629399e-04,1.821931616642e+01
1.150575287644e-02,-1.985990922806e+01,-8.770378325146e-04,1.985903219023e+01
1.200600300150e-02,-2.151263959323e+01,-9.604323511011e-04,2.151167916088e+01
1.250625312656e-02,-2.317680887787e+01,-1.046160070900e-03,2.317576271779e+01
1.300650325163e-02,-2.485217421055e+01,-1.134286215005e-03,2.485103992433e+01
1.350675337669e-02,-2.653616600646e+01,-1.224877826665e-03,2.653494112864e+01
1.400700350175e-02,-2.822824534614e+01,-1.318003819895e-03,2.822692734232e+01
1.450725362681e-02,-2.992756560626e+01,-1.413735031497e-03,2.992615187123e+01
1.500750375188e-02,-3.163218181435e+01,-1.512144274507e-03,3.163066967007e+01
1.550775387694e-02,-3.334092568629e+01,-1.613306393119e-03,3.333931237989e+01
1.600800400200e-02,-3.505313584135e+01,-1.717298319128e-03,3.505141854304e+01
1.650825412706e-02,-3.676828546616e+01,-1.824199129924e-03,3.676646126703e+01
1.700850425213e-02,-3.848606230459e+01,-1.934090108084e-03,3.848412821448e+01
1.750875437719e-02,-4.020559967329e+01,-2.047054802610e-03,4.020355261849e+01
1.800900450225e-02,-4.192494284489e+01,-2.163179091847e-03,4.192277966580e+01
1.850925462731e-02,-4.363993584138e+01,-2.282551248134e-03,4.363765329013e+01
1.900950475238e-02,-4.534626890791e+01,-2.405262004233e-03,4.534386364590e+01
1.950975487744e-02,-4.703944724707e+01,-2.531404621587e-03,4.703691584245e+01
2.001000500250e-02,-4.871355410048e+01,-2.661074960447e-03,4.871089302552e+01
2.051025512756e-02,-5.036694859772e+01,-2.794371551929e-03,5.036415422617e+01
2.101050525263e-02,-5.199496715700e+01,-2.931395672048e-03,5.199203576133e+01
2.151075537769e-02,-5.359420297493e+01,-3.072251417779e-03,5.359113072351e+01
2.201100550275e-02,-5.516571458075e+01,-3.217045785207e-03,5.516249753496e+01
2.251125562781e-02,-5.670652383538e+01,-3.365888749815e-03,5.670315794663e+01
2.301150575288e-02,-5.821847202446e+01,-3.518893348969e-03,5.821495313111e+01
2.351175587794e-02,-5.970408385037e+01,-3.676175766667e-03,5.970040767460e+01
2.401200600300e-02,-6.116161937314e+01,-3.837855420588e-03,6.115778151772e+01
2.451225612806e-02,-6.259492657171e+01,-4.004055051543e-03,6.259092251666e+01
2.501250625313e-02,-6.400607320002e+01,-4.174900815345e-03,6.400189829920e+01
2.551275637819e-02,-6.539662778233e+01,-4.350522377203e-03,6.539227725995e+01
2.601300650325e-02,-6.677322275483e+01,-4.531053008674e-03,6.676869170182e+01
