time_s,position_mm,velocity_m_per_s,source_charge_nC,source_current_uA,load_current_uA,voltage_V,power_mW,energy_uJ
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
5.464500582959e-05,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.092900116592e-04,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.639350174888e-04,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.185800233184e-04,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.732250291479e-04,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.278700349775e-04,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.825150408071e-04,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.371600466367e-04,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
4.918050524663e-04,0.000000000000e+00,0.000000000000e+00,-3.250000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
