time_s,position_mm,velocity_m_per_s,source_charge_nC,source_current_uA,load_current_uA,voltage_V,power_mW,energy_uJ
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.638779030662e+02,-5.441439024599e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.937129433614e-05,9.624752955743e-06,2.774851773446e-04,1.635004233980e+02,-5.441428999811e+00,-3.363248176214e-03,-3.363248176214e+00,1.131143829480e-05,3.923445576570e-07
1.387425886723e-04,3.849901182297e-05,5.549703546891e-04,1.631229451207e+02,-5.441394892244e+00,-6.724403953200e-03,-6.724403953200e+00,4.521760852581e-05,2.353091130424e-06
2.081138830084e-04,8.662277660168e-05,8.324555320337e-04,1.627454701847e+02,-5.441332668723e+00,-1.008345249270e-02,-1.008345249270e+01,1.016760141726e-04,7.448191498579e-06
2.774851773446e-04,1.539960472919e-04,1.109940709378e-03,1.623680005404e+02,-5.441242329250e+00,-1.344037771922e-02,-1.344037771922e+01,1.806437532353e-04,1.724063533946e-05
3.468564716807e-04,2.406188238936e-04,1.387425886723e-03,1.619905381383e+02,-5.441123873813e+00,-1.679516356719e-02,-1.679516356719e+01,2.820775192488e-04,3.329042213401e-05
4.162277660168e-04,3.464911064067e-04,1.664911064067e-03,1.616130849289e+02,-5.440977302427e+00,-2.014779398098e-02,-2.014779398098e+01,4.059336023001e-04,5.715453314376e-05
4.855990603530e-04,4.716128948314e-04,1.942396241412e-03,1.612356428625e+02,-5.440802615085e+00,-2.349825291488e-02,-2.349825291488e+01,5.521678900516e-04,9.038690345867e-05
5.549703546891e-04,6.159841891675e-04,2.219881418756e-03,1.608582138896e+02,-5.440599811788e+00,-2.684652433309e-02,-2.684652433309e+01,7.207358687672e-04,1.345383941160e-04
6.243416490253e-04,7.796049894152e-04,2.497366596101e-03,1.604807999607e+02,-5.440368892537e+00,-3.019259220974e-02,-3.019259220974e+01,9.115926243435e-04,1.911567642904e-04
6.937129433614e-04,9.624752955743e-04,2.774851773446e-03,1.601034030261e+02,-5.440109857333e+00,-3.353644052884e-02,-3.353644052884e+01,1.124692843344e-03,2.617866435561e-04
7.630842376975e-04,1.164595107645e-03,3.052336950790e-03,1.597260250364e+02,-5.439822706167e+00,-3.687805328433e-02,-3.687805328433e+01,1.359990814042e-03,3.479695042205e-04
