time_s,source_charge_centered_nC,transfer_charge_from_start_nC
0.000000000000e+00,1.639739531156e+02,0.000000000000e+00
6.937129433614e-05,1.635993454885e+02,-3.746076270615e-01
1.387425886723e-04,1.632247378615e+02,-7.492152541240e-01
2.081138830084e-04,1.628501302344e+02,-1.123822881186e+00
2.774851773446e-04,1.624755226074e+02,-1.498430508248e+00
3.468564716807e-04,1.621009149803e+02,-1.873038135310e+00
4.162277660168e-04,1.617263073532e+02,-2.247645762372e+00
4.855990603530e-04,1.613516997262e+02,-2.622253389434e+00
5.549703546891e-04,1.609770920991e+02,-2.996861016496e+00
6.243416490253e-04,1.606024844720e+02,-3.371468643558e+00
6.937129433614e-04,1.602278768450e+02,-3.746076270620e+00
7.630842376975e-04,1.598532692179e+02,-4.120683897683e+00
8.324555320337e-04,1.594786615909e+02,-4.495291524744e+00
9.018268263698e-04,1.591040539638e+02,-4.869899151807e+00
9.711981207060e-04,1.587294463367e+02,-5.244506778868e+00
1.040569415042e-03,1.583548387097e+02,-5.619114405931e+00
1.109940709378e-03,1.579802310826e+02,-5.993722032993e+00
1.179312003714e-03,1.576056234556e+02,-6.368329660055e+00
1.248683298051e-03,1.572310158285e+02,-6.742937287117e+00
1.318054592387e-03,1.568564082014e+02,-7.117544914179e+00
1.387425886723e-03,1.564818005744e+02,-7.492152541241e+00
1.456797181059e-03,1.561071929473e+02,-7.866760168303e+00
1.526168475395e-03,1.557325853202e+02,-8.241367795365e+00
1.595539769731e-03,1.553579776932e+02,-8.615975422427e+00
1.664911064067e-03,1.549833700661e+02,-8.990583049489e+00
1.734282358403e-03,1.546087624391e+02,-9.365190676551e+00
1.803653652740e-03,1.542341548120e+02,-9.739798303613e+00
1.873024947076e-03,1.538595471849e+02,-1.011440593067e+01
1.942396241412e-03,1.534849395579e+02,-1.048901355774e+01
2.011767535748e-03,1.531103319308e+02,-1.086362118480e+01
2.081138830084e-03,1.527357243037e+02,-1.123822881186e+01
2.150510124420e-03,1.523611166767e+02,-1.161283643892e+01
2.219881418756e-03,1.519865090496e+02,-1.198744406599e+01
2.289252713093e-03,1.516119014226e+02,-1.236205169305e+01
2.358624007429e-03,1.512372937955e+02,-1.273665932011e+01
2.427995301765e-03,1.508626861684e+02,-1.311126694717e+01
2.497366596101e-03,1.504880785414e+02,-1.348587457423e+01
2.566737890437e-03,1.501134709143e+02,-1.386048220130e+01
2.636109184773e-03,1.497388632873e+02,-1.423508982836e+01
2.705480479109e-03,1.493642556602e+02,-1.460969745542e+01
2.774851773446e-03,1.489896480331e+02,-1.498430508248e+01
2.844223067782e-03,1.486150404061e+02,-1.535891270954e+01
2.913594362118e-03,1.482404327790e+02,-1.573352033661e+01
2.982965656454e-03,1.478658251519e+02,-1.610812796367e+01
3.052336950790e-03,1.474912175249e+02,-1.648273559073e+01
3.121708245126e-03,1.471166098978e+02,-1.685734321779e+01
3.191079539462e-03,1.467420022708e+02,-1.723195084485e+01
