time_s,short_circuit_current_A,integrated_transferred_charge_C,short_circuit_current_uA,integrated_transferred_charge_nC
0.000000000000e+00,1.329103947439e-10,0.000000000000e+00,1.329103947439e-04,0.000000000000e+00
5.464500582959e-05,1.335230324440e-10,7.279628090940e-15,1.335230324440e-04,7.279628090940e-06
1.092900116592e-04,1.341384928540e-10,1.459281089608e-14,1.341384928540e-04,1.459281089608e-05
1.639350174888e-04,1.347567889686e-10,2.193970301745e-14,1.347567889686e-04,2.193970301745e-05
2.185800233184e-04,1.353779338421e-10,2.932045976883e-14,1.353779338421e-04,2.932045976883e-05
2.732250291479e-04,1.360019405887e-10,3.673523717897e-14,1.360019405887e-04,3.673523717897e-05
3.278700349775e-04,1.366288223831e-10,4.418419199494e-14,1.366288223831e-04,4.418419199494e-05
3.825150408071e-04,1.372585924604e-10,5.166748168532e-14,1.372585924604e-04,5.166748168532e-05
4.371600466367e-04,1.378912641166e-10,5.918526444366e-14,1.378912641166e-04,5.918526444366e-05
4.918050524663e-04,1.385268507087e-10,6.673769919167e-14,1.385268507087e-04,6.673769919167e-05
5.464500582959e-04,1.391653656551e-10,7.432494558269e-14,1.391653656551e-04,7.432494558269e-05
6.010950641255e-04,1.398068224360e-10,8.194716400496e-14,1.398068224360e-04,8.194716400496e-05
6.557400699551e-04,1.404512345933e-10,8.960451558504e-14,1.404512345933e-04,8.960451558504e-05
7.103850757847e-04,1.410986157314e-10,9.729716219120e-14,1.410986157314e-04,9.729716219120e-05
7.650300816142e-04,1.417489795170e-10,1.050252664368e-13,1.417489795170e-04,1.050252664368e-04
8.196750874438e-04,1.424023396798e-10,1.127889916838e-13,1.424023396798e-04,1.127889916838e-04
8.743200932734e-04,1.430587100123e-10,1.205885020461e-13,1.430587100123e-04,1.205885020461e-04
9.289650991030e-04,1.437181043706e-10,1.284239623929e-13,1.437181043706e-04,1.284239623929e-04
9.836101049326e-04,1.443805366745e-10,1.362955383527e-13,1.443805366745e-04,1.362955383527e-04
1.038255110762e-03,1.450460209076e-10,1.442033963158e-13,1.450460209076e-04,1.442033963158e-04
1.092900116592e-03,1.457145711177e-10,1.521477034390e-13,1.457145711177e-04,1.521477034390e-04
1.147545122421e-03,1.463862014175e-10,1.601286276479e-13,1.463862014175e-04,1.601286276479e-04
1.202190128251e-03,1.470609259840e-10,1.681463376417e-13,1.470609259840e-04,1.681463376417e-04
1.256835134081e-03,1.477387590599e-10,1.762010028957e-13,1.477387590599e-04,1.762010028957e-04
1.311480139910e-03,1.484197149530e-10,1.842927936650e-13,1.484197149530e-04,1.842927936650e-04
1.366125145740e-03,1.491038080367e-10,1.924218809892e-13,1.491038080367e-04,1.924218809892e-04
1.420770151569e-03,1.497910527509e-10,2.005884366942e-13,1.497910527509e-04,2.005884366942e-04
1.475415157399e-03,1.504814636014e-10,2.087926333975e-13,1.504814636014e-04,2.087926333975e-04
1.530060163228e-03,1.511750551609e-10,2.170346445106e-13,1.511750551609e-04,2.170346445106e-04
1.584705169058e-03,1.518718420690e-10,2.253146442435e-13,1.518718420690e-04,2.253146442435e-04
1.639350174888e-03,1.525718390323e-10,2.336328076079e-13,1.525718390323e-04,2.336328076079e-04
1.693995180717e-03,1.532750608254e-10,2.419893104206e-13,1.532750608254e-04,2.419893104206e-04
1.748640186547e-03,1.539815222904e-10,2.503843293085e-13,1.539815222904e-04,2.503843293085e-04
1.803285192376e-03,1.546912383377e-10,2.588180417103e-13,1.546912383377e-04,2.588180417103e-04
1.857930198206e-03,1.554042239463e-10,2.672906258825e-13,1.554042239463e-04,2.672906258825e-04
1.912575204036e-03,1.561204941639e-10,2.758022609012e-13,1.561204941639e-04,2.758022609012e-04
1.967220209865e-03,1.568400641073e-10,2.843531266667e-13,1.568400641073e-04,2.843531266667e-04
2.021865215695e-03,1.575629489627e-10,2.929434039078e-13,1.575629489627e-04,2.929434039078e-04
2.076510221524e-03,1.582891639862e-10,3.015732741844e-13,1.582891639862e-04,3.015732741844e-04
2.131155227354e-03,1.590187245039e-10,3.102429198926e-13,1.590187245039e-04,3.102429198926e-04
2.185800233184e-03,1.597516459122e-10,3.189525242675e-13,1.597516459122e-04,3.189525242675e-04
2.240445239013e-03,1.604879436784e-10,3.277022713874e-13,1.604879436784e-04,3.277022713874e-04
2.295090244843e-03,1.612276333407e-10,3.364923461783e-13,1.612276333407e-04,3.364923461783e-04
2.349735250672e-03,1.619707305086e-10,3.453229344166e-13,1.619707305086e-04,3.453229344166e-04
2.404380256502e-03,1.627172508636e-10,3.541942227341e-13,1.627172508636e-04,3.541942227341e-04
2.459025262332e-03,1.634672101588e-10,3.631063986212e-13,1.634672101588e-04,3.631063986212e-04
2.513670268161e-03,1.642206242199e-10,3.720596504310e-13,1.642206242199e-04,3.720596504310e-04
2.568315273991e-03,1.649775089453e-10,3.810541673841e-13,1.649775089453e-04,3.810541673841e-04
2.622960279820e-03,1.657378803063e-10,3.900901395708e-13,1.657378803063e-04,3.900901395708e-04
2.677605285650e-03,1.665017543476e-10,3.991677579571e-13,1.665017543476e-04,3.991677579571e-04
2.732250291479e-03,1.672691471876e-10,4.082872143870e-13,1.672691471876e-04,4.082872143870e-04
2.786895297309e-03,1.680400750186e-10,4.174487015882e-13,1.680400750186e-04,4.174487015882e-04
2.841540303139e-03,1.688145541073e-10,4.266524131744e-13,1.688145541073e-04,4.266524131744e-04
2.896185308968e-03,1.695926007953e-10,4.358985436505e-13,1.695926007953e-04,4.358985436505e-04
2.950830314798e-03,1.703742314989e-10,4.451872884169e-13,1.703742314989e-04,4.451872884169e-04
3.005475320627e-03,1.711594627101e-10,4.545188437723e-13,1.711594627101e-04,4.545188437723e-04
3.060120326457e-03,1.719483109963e-10,4.638934069196e-13,1.719483109963e-04,4.638934069196e-04
3.114765332287e-03,1.727407930012e-10,4.733111759683e-13,1.727407930012e-04,4.733111759683e-04
3.169410338116e-03,1.735369254450e-10,4.827723499398e-13,1.735369254450e-04,4.827723499398e-04
3.224055343946e-03,1.743367251243e-10,4.922771287715e-13,1.743367251243e-04,4.922771287715e-04
3.278700349775e-03,1.751402089132e-10,5.018257133203e-13,1.751402089132e-04,5.018257133203e-04
3.333345355605e-03,1.759473937630e-10,5.114183053678e-13,1.759473937630e-04,5.114183053678e-04
3.387990361435e-03,1.767582967031e-10,5.210551076237e-13,1.767582967031e-04,5.210551076237e-04
3.442635367264e-03,1.775729348408e-10,5.307363237303e-13,1.775729348408e-04,5.307363237303e-04
3.497280373094e-03,1.783913253620e-10,5.404621582673e-13,1.783913253620e-04,5.404621582673e-04
3.551925378923e-03,1.792134855317e-10,5.502328167552e-13,1.792134855317e-04,5.502328167552e-04
3.606570384753e-03,1.800394326940e-10,5.600485056607e-13,1.800394326940e-04,5.600485056607e-04
3.661215390582e-03,1.808691842725e-10,5.699094323996e-13,1.808691842725e-04,5.699094323996e-04
3.715860396412e-03,1.817027577710e-10,5.798158053430e-13,1.817027577710e-04,5.798158053430e-04
3.770505402242e-03,1.825401707735e-10,5.897678338199e-13,1.825401707735e-04,5.897678338199e-04
3.825150408071e-03,1.833814409449e-10,5.997657281226e-13,1.833814409449e-04,5.997657281226e-04
3.879795413901e-03,1.842265860310e-10,6.098096995112e-13,1.842265860310e-04,6.098096995112e-04
3.934440419730e-03,1.850756238591e-10,6.198999602172e-13,1.850756238591e-04,6.198999602172e-04
3.989085425560e-03,1.859285723383e-10,6.300367234493e-13,1.859285723383e-04,6.300367234493e-04
4.043730431390e-03,1.867854494600e-10,6.402202033964e-13,1.867854494600e-04,6.402202033964e-04
4.098375437219e-03,1.876462732982e-10,6.504506152327e-13,1.876462732982e-04,6.504506152327e-04
4.153020443049e-03,1.885110620097e-10,6.607281751231e-13,1.885110620097e-04,6.607281751231e-04
4.207665448878e-03,1.893798338347e-10,6.710531002262e-13,1.893798338347e-04,6.710531002262e-04
4.262310454708e-03,1.902526070971e-10,6.814256087002e-13,1.902526070971e-04,6.814256087002e-04
4.316955460538e-03,1.911294002050e-10,6.918459197064e-13,1.911294002050e-04,6.918459197064e-04
4.371600466367e-03,1.920102316508e-10,7.023142534145e-13,1.920102316508e-04,7.023142534145e-04
4.426245472197e-03,1.928951200119e-10,7.128308310073e-13,1.928951200119e-04,7.128308310073e-04
4.480890478026e-03,1.937840839510e-10,7.233958746845e-13,1.937840839510e-04,7.233958746845e-04
4.535535483856e-03,1.946771422163e-10,7.340096076689e-13,1.946771422163e-04,7.340096076689e-04
4.590180489685e-03,1.955743136420e-10,7.446722542089e-13,1.955743136420e-04,7.446722542089e-04
4.644825495515e-03,1.964756171490e-10,7.553840395858e-13,1.964756171490e-04,7.553840395858e-04
4.699470501345e-03,1.973810717447e-10,7.661451901162e-13,1.973810717447e-04,7.661451901162e-04
4.754115507174e-03,1.982906965239e-10,7.769559331579e-13,1.982906965239e-04,7.769559331579e-04
4.808760513004e-03,1.992045106690e-10,7.878164971151e-13,1.992045106690e-04,7.878164971151e-04
4.863405518833e-03,2.001225334503e-10,7.987271114419e-13,2.001225334503e-04,7.987271114419e-04
4.918050524663e-03,2.010447842268e-10,8.096880066485e-13,2.010447842268e-04,8.096880066485e-04
4.972695530493e-03,2.019712824459e-10,8.206994143050e-13,2.019712824459e-04,8.206994143050e-04
5.027340536322e-03,2.029020476446e-10,8.317615670464e-13,2.029020476446e-04,8.317615670464e-04
5.081985542152e-03,2.038370994494e-10,8.428746985785e-13,2.038370994494e-04,8.428746985785e-04
5.136630547981e-03,2.047764575767e-10,8.540390436813e-13,2.047764575767e-04,8.540390436813e-04
5.191275553811e-03,2.057201418336e-10,8.652548382153e-13,2.057201418336e-04,8.652548382153e-04
5.245920559641e-03,2.066681721179e-10,8.765223191253e-13,2.066681721179e-04,8.765223191253e-04
5.300565565470e-03,2.076205684188e-10,8.878417244461e-13,2.076205684188e-04,8.878417244461e-04
5.355210571300e-03,2.085773508170e-10,8.992132933076e-13,2.085773508170e-04,8.992132933076e-04
5.409855577129e-03,2.095385394856e-10,9.106372659390e-13,2.095385394856e-04,9.106372659390e-04
5.464500582959e-03,2.105041546900e-10,9.221138836750e-13,2.105041546900e-04,9.221138836750e-04
5.519145588788e-03,2.114742167886e-10,9.336433889596e-13,2.114742167886e-04,9.336433889596e-04
5.573790594618e-03,2.124487462334e-10,9.452260253525e-13,2.124487462334e-04,9.452260253525e-04
5.628435600448e-03,2.134277635698e-10,9.568620375331e-13,2.134277635698e-04,9.568620375331e-04
5.683080606277e-03,2.144112894378e-10,9.685516713058e-13,2.144112894378e-04,9.685516713058e-04
5.737725612107e-03,2.153993445720e-10,9.802951736064e-13,2.153993445720e-04,9.802951736064e-04
5.792370617936e-03,2.163919498019e-10,9.920927925054e-13,2.163919498019e-04,9.920927925054e-04
5.847015623766e-03,2.173891260528e-10,1.003944777215e-12,2.173891260528e-04,1.003944777215e-03
5.901660629596e-03,2.183908943457e-10,1.015851378093e-12,2.183908943457e-04,1.015851378093e-03
5.956305635425e-03,2.193972757982e-10,1.027812846647e-12,2.193972757982e-04,1.027812846647e-03
6.010950641255e-03,2.204082916248e-10,1.039829435545e-12,2.204082916248e-04,1.039829435545e-03
6.065595647084e-03,2.214239631370e-10,1.051901398614e-12,2.214239631370e-04,1.051901398614e-03
6.120240652914e-03,2.224443117444e-10,1.064028990848e-12,2.224443117444e-04,1.064028990848e-03
6.174885658744e-03,2.234693589544e-10,1.076212468415e-12,2.234693589544e-04,1.076212468415e-03
6.229530664573e-03,2.244991263733e-10,1.088452088661e-12,2.244991263733e-04,1.088452088661e-03
6.284175670403e-03,2.255336357064e-10,1.100748110115e-12,2.255336357064e-04,1.100748110115e-03
6.338820676232e-03,2.265729087584e-10,1.113100792494e-12,2.265729087584e-04,1.113100792494e-03
6.393465682062e-03,2.276169674342e-10,1.125510396710e-12,2.276169674342e-04,1.125510396710e-03
6.448110687891e-03,2.286658337390e-10,1.137977184875e-12,2.286658337390e-04,1.137977184875e-03
6.502755693721e-03,2.297195297789e-10,1.150501420306e-12,2.297195297789e-04,1.150501420306e-03
6.557400699551e-03,2.307780777614e-10,1.163083367530e-12,2.307780777614e-04,1.163083367530e-03
6.612045705380e-03,2.318414999957e-10,1.175723292292e-12,2.318414999957e-04,1.175723292292e-03
