time_s,shape_matched_short_circuit_current_A,shape_matched_short_circuit_current_uA,integrated_transferred_charge_C,integrated_transferred_charge_nC
0.000000000000e+00,-5.352291846088e-07,-5.352291846088e-01,0.000000000000e+00,0.000000000000e+00
5.464500582959e-05,-5.352290292624e-07,-5.352290292624e-01,-2.924759766866e-11,-2.924759766866e-02
1.092900116592e-04,-5.352288732755e-07,-5.352288732755e-01,-5.849518683093e-11,-5.849518683093e-02
1.639350174888e-04,-5.352287166452e-07,-5.352287166452e-01,-8.774276745170e-11,-8.774276745170e-02
2.185800233184e-04,-5.352285593685e-07,-5.352285593685e-01,-1.169903394958e-10,-1.169903394958e-01
2.732250291479e-04,-5.352284014423e-07,-5.352284014423e-01,-1.462379029276e-10,-1.462379029276e-01
3.278700349775e-04,-5.352282428638e-07,-5.352282428638e-01,-1.754854577118e-10,-1.754854577118e-01
3.825150408071e-04,-5.352280836297e-07,-5.352280836297e-01,-2.047330038126e-10,-2.047330038126e-01
4.371600466367e-04,-5.352279237371e-07,-5.352279237371e-01,-2.339805411941e-10,-2.339805411941e-01
4.918050524663e-04,-5.352277631829e-07,-5.352277631829e-01,-2.632280698201e-10,-2.632280698201e-01
5.464500582959e-04,-5.352276019639e-07,-5.352276019639e-01,-2.924755896545e-10,-2.924755896545e-01
6.010950641255e-04,-5.352274400772e-07,-5.352274400772e-01,-3.217231006608e-10,-3.217231006608e-01
6.557400699551e-04,-5.352272775196e-07,-5.352272775196e-01,-3.509706028025e-10,-3.509706028025e-01
7.103850757847e-04,-5.352271142879e-07,-5.352271142879e-01,-3.802180960428e-10,-3.802180960428e-01
7.650300816142e-04,-5.352269503790e-07,-5.352269503790e-01,-4.094655803448e-10,-4.094655803448e-01
8.196750874438e-04,-5.352267857898e-07,-5.352267857898e-01,-4.387130556714e-10,-4.387130556714e-01
8.743200932734e-04,-5.352266205171e-07,-5.352266205171e-01,-4.679605219854e-10,-4.679605219854e-01
9.289650991030e-04,-5.352264545577e-07,-5.352264545577e-01,-4.972079792493e-10,-4.972079792493e-01
9.836101049326e-04,-5.352262879084e-07,-5.352262879084e-01,-5.264554274255e-10,-5.264554274255e-01
1.038255110762e-03,-5.352261205660e-07,-5.352261205660e-01,-5.557028664761e-10,-5.557028664761e-01
1.092900116592e-03,-5.352259525272e-07,-5.352259525272e-01,-5.849502963635e-10,-5.849502963635e-01
1.147545122421e-03,-5.352257837889e-07,-5.352257837889e-01,-6.141977170489e-10,-6.141977170489e-01
1.202190128251e-03,-5.352256143477e-07,-5.352256143477e-01,-6.434451284948e-10,-6.434451284948e-01
1.256835134081e-03,-5.352254442004e-07,-5.352254442004e-01,-6.726925306624e-10,-6.726925306624e-01
1.311480139910e-03,-5.352252733436e-07,-5.352252733436e-01,-7.019399235123e-10,-7.019399235123e-01
1.366125145740e-03,-5.352251017742e-07,-5.352251017742e-01,-7.311873070068e-10,-7.311873070068e-01
1.420770151569e-03,-5.352249294887e-07,-5.352249294887e-01,-7.604346811058e-10,-7.604346811058e-01
1.475415157399e-03,-5.352247564839e-07,-5.352247564839e-01,-7.896820457712e-10,-7.896820457712e-01
1.530060163228e-03,-5.352245827563e-07,-5.352245827563e-01,-8.189294009624e-10,-8.189294009624e-01
1.584705169058e-03,-5.352244083027e-07,-5.352244083027e-01,-8.481767466409e-10,-8.481767466409e-01
1.639350174888e-03,-5.352242331196e-07,-5.352242331196e-01,-8.774240827666e-10,-8.774240827666e-01
1.693995180717e-03,-5.352240572036e-07,-5.352240572036e-01,-9.066714092987e-10,-9.066714092987e-01
1.748640186547e-03,-5.352238805514e-07,-5.352238805514e-01,-9.359187261984e-10,-9.359187261984e-01
1.803285192376e-03,-5.352237031594e-07,-5.352237031594e-01,-9.651660334242e-10,-9.651660334242e-01
1.857930198206e-03,-5.352235250244e-07,-5.352235250244e-01,-9.944133309366e-10,-9.944133309366e-01
1.912575204036e-03,-5.352233461427e-07,-5.352233461427e-01,-1.023660618694e-09,-1.023660618694e+00
1.967220209865e-03,-5.352231665109e-07,-5.352231665109e-01,-1.052907896656e-09,-1.052907896656e+00
