time_s,position_m,motion_velocity_m_per_s,source_charge_C,source_current_A,load_charge_C,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.119085272803e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.020964513990e-05,0.000000000000e+00,0.000000000000e+00,3.693616647725e-14,6.150100633018e-10,9.907666302076e-18,3.291056201728e-13,3.291056201728e-04,1.083105092293e-16,3.260668662810e-21
1.204192902798e-04,0.000000000000e+00,0.000000000000e+00,7.405954769052e-14,6.181272895929e-10,3.967556801188e-17,6.597027888666e-13,6.597027888666e-04,4.352077696383e-16,1.962319001165e-20
1.806289354197e-04,0.000000000000e+00,0.000000000000e+00,1.113710907257e-13,6.212602852209e-10,8.939374069132e-17,9.917991445501e-13,9.917991445501e-04,9.836655431303e-16,6.233811934178e-20
2.408385805596e-04,0.000000000000e+00,0.000000000000e+00,1.488717474411e-13,6.244091296483e-10,1.591526809686e-16,1.325402364118e-12,1.325402364118e-03,1.756691426809e-15,1.448360797001e-19
3.010482256995e-04,0.000000000000e+00,0.000000000000e+00,1.865624744916e-13,6.275739027348e-10,2.490433488576e-16,1.660520163082e-12,1.660520163082e-03,2.757327212002e-15,2.807298098990e-19
3.612578708394e-04,0.000000000000e+00,0.000000000000e+00,2.244442333522e-13,6.307546847396e-10,3.591571700888e-16,1.997160295766e-12,1.997160295766e-03,3.988649246984e-15,4.838162342578e-19
4.214675159793e-04,0.000000000000e+00,0.000000000000e+00,2.625179903425e-13,6.339515563226e-10,4.895860384520e-16,2.335330555497e-12,2.335330555497e-03,5.453768803437e-15,7.680785542971e-19
4.816771611192e-04,0.000000000000e+00,0.000000000000e+00,3.007847166507e-13,6.371645985473e-10,6.404223181505e-16,2.675038774802e-12,2.675038774802e-03,7.155832446692e-15,1.147688362610e-18
5.418868062591e-04,0.000000000000e+00,0.000000000000e+00,3.392453883579e-13,6.403938928821e-10,8.117588461674e-16,3.016292825602e-12,3.016292825602e-03,9.098022409780e-15,1.637007779142e-18
6.020964513990e-04,0.000000000000e+00,0.000000000000e+00,3.779009864628e-13,6.436395212025e-10,1.003688934643e-15,3.359100619413e-12,3.359100619413e-03,1.128355697134e-14,2.250591610106e-18
6.623060965389e-04,0.000000000000e+00,0.000000000000e+00,4.167524969060e-13,6.469015657931e-10,1.216306373266e-15,3.703470107538e-12,3.703470107538e-03,1.371569083742e-14,3.003189529771e-18
7.225157416788e-04,0.000000000000e+00,0.000000000000e+00,4.558009105950e-13,6.501801093498e-10,1.449705431672e-15,4.049409281267e-12,4.049409281267e-03,1.639771552721e-14,3.909748285355e-18
7.827253868187e-04,0.000000000000e+00,0.000000000000e+00,4.950472234284e-13,6.534752349814e-10,1.703980861861e-15,4.396926172082e-12,4.396926172082e-03,1.933295976274e-14,4.985413925264e-18
8.429350319586e-04,0.000000000000e+00,0.000000000000e+00,5.344924363217e-13,6.567870262121e-10,1.979227900622e-15,4.746028851850e-12,4.746028851850e-03,2.252478986260e-14,6.245534050912e-18
9.031446770985e-04,0.000000000000e+00,0.000000000000e+00,5.741375552318e-13,6.601155669831e-10,2.275542271968e-15,5.096725433030e-12,5.096725433030e-03,2.597661013970e-14,7.705660092375e-18
9.633543222384e-04,0.000000000000e+00,0.000000000000e+00,6.139835911821e-13,6.634609416550e-10,2.593020189590e-15,5.449024068873e-12,5.449024068873e-03,2.969186330316e-14,9.381549608113e-18
1.023563967378e-03,0.000000000000e+00,0.000000000000e+00,6.540315602882e-13,6.668232350098e-10,2.931758359317e-15,5.802932953627e-12,5.802932953627e-03,3.367403086429e-14,1.128916860901e-17
1.083773612518e-03,0.000000000000e+00,0.000000000000e+00,6.942824837831e-13,6.702025322526e-10,3.291853981591e-15,6.158460322739e-12,6.158460322739e-03,3.792663354675e-14,1.344469390699e-17
1.143983257658e-03,0.000000000000e+00,0.000000000000e+00,7.347373880427e-13,6.735989190141e-10,3.673404753955e-15,6.515614453066e-12,6.515614453066e-03,4.245323170100e-14,1.586451548848e-17
1.204192902798e-03,0.000000000000e+00,0.000000000000e+00,7.753973046117e-13,6.770124813528e-10,4.076508873550e-15,6.874403663074e-12,6.874403663074e-03,4.725742572289e-14,1.856523891285e-17
1.264402547938e-03,0.000000000000e+00,0.000000000000e+00,8.162632702292e-13,6.804433057564e-10,4.501265039628e-15,7.234836313053e-12,7.234836313053e-03,5.234285647667e-14,2.156368773639e-17
1.324612193078e-03,0.000000000000e+00,0.000000000000e+00,8.573363268546e-13,6.838914791447e-10,4.947772456077e-15,7.596920805321e-12,7.596920805321e-03,5.771320572232e-14,2.487690596164e-17
1.384821838218e-03,0.000000000000e+00,0.000000000000e+00,8.986175216941e-13,6.873570888712e-10,5.416130833958e-15,7.960665584435e-12,7.960665584435e-03,6.337219654720e-14,2.852216051277e-17
