electrode_count,load,resistance_ohm,event_count,source_charge_peak_to_peak_nC,modeled_total_transfer_charge_nC,source_current_peak_uA,load_current_peak_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,power_peak_mW,power_mean_mW,energy_uJ,duration_s
2,100K,1.000000000000e+05,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.999985227648e+00,2.368547557620e+00,7.999985227648e-01,2.368547557620e-01,6.399976364258e-03,5.610017532707e-04,4.053325978475e-01,7.224555320337e-01
2,200K,2.000000000000e+05,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.999982453734e+00,2.368547106836e+00,1.599996490747e+00,4.737094213673e-01,1.279994385201e-02,1.122003079461e-03,8.106648871224e-01,7.224555320337e-01
2,500K,5.000000000000e+05,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.999942076762e+00,2.368542779559e+00,3.999971038381e+00,1.184271389779e+00,3.199953661578e-02,2.804997449300e-03,2.026654812488e+00,7.224555320337e-01
2,1M,1.000000000000e+06,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.999810293882e+00,2.368526942453e+00,7.999810293882e+00,2.368526942453e+00,6.399696473810e-02,5.609919877128e-03,4.053255420782e+00,7.224555320337e-01
2,2M,2.000000000000e+06,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.999277389349e+00,2.368463530668e+00,1.599855477870e+01,4.736927061335e+00,1.279768775035e-01,1.121923899220e-02,8.106076781524e+00,7.224555320337e-01
2,5M,5.000000000000e+06,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.995542479494e+00,2.368020241538e+00,3.997771239747e+01,1.184010120769e+01,3.196434977069e-01,2.803759932167e-02,2.025760686879e+01,7.224555320337e-01
2,10M,1.000000000000e+07,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.982366490964e+00,2.366445946673e+00,7.982366490964e+01,2.366445946673e+01,6.371817479607e-01,5.600066418524e-02,4.046136141831e+01,7.224555320337e-01
2,20M,2.000000000000e+07,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.931966094582e+00,2.360281278444e+00,1.586393218916e+02,4.720562556888e+01,1.258321722512e+00,1.114185542675e-01,8.050165937334e+01,7.224555320337e-01
2,50M,5.000000000000e+07,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,7.644567906335e+00,2.321828021897e+00,3.822283953167e+02,1.160914010948e+02,2.921970923728e+00,2.695442681632e-01,1.947499768272e+02,7.224555320337e-01
2,100M,1.000000000000e+08,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,6.996130866405e+00,2.221585952355e+00,6.996130866405e+02,2.221585952355e+02,4.894584709987e+00,4.935444143702e-01,3.565936086001e+02,7.224555320337e-01
2,200M,2.000000000000e+08,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,5.800884389526e+00,2.006318269201e+00,1.160176877905e+03,4.012636538401e+02,6.730051940129e+00,8.050625994657e-01,5.816704009002e+02,7.224555320337e-01
2,500M,5.000000000000e+08,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,3.746189549779e+00,1.562786991049e+00,1.873094774889e+03,7.813934955244e+02,7.016968071436e+00,1.221151589696e+00,8.823002695596e+02,7.224555320337e-01
2,1G,1.000000000000e+09,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,2.359682892227e+00,1.160634923849e+00,2.359682892227e+03,1.160634923849e+03,5.568103351870e+00,1.347073426457e+00,9.732703431667e+02,7.224555320337e-01
2,2G,2.000000000000e+09,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,1.366692593879e+00,7.482500698517e-01,2.733385187758e+03,1.496500139703e+03,3.735697292327e+00,1.119756334066e+00,8.090214337675e+02,7.224555320337e-01
2,5G,5.000000000000e+09,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,6.104086904826e-01,3.603580415740e-01,3.052043452413e+03,1.801790207870e+03,1.862993847083e+00,6.492895906352e-01,4.691144491321e+02,7.224555320337e-01
2,10G,1.000000000000e+10,1,3.799985218042e+02,3.800000000000e+02,7.999994906047e+00,3.192344510945e-01,1.976051331692e-01,3.192344510945e+03,1.976051331692e+03,1.019106347656e+00,3.904778865481e-01,2.821246784442e+02,7.224555320337e-01
4,100K,1.000000000000e+05,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,8.000022275827e+00,2.905839972396e+00,8.000022275827e-01,2.905839972396e-01,6.400035641373e-03,8.443905945173e-04,6.100854966643e-01,7.224555320337e-01
4,200K,2.000000000000e+05,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,8.000019686124e+00,2.905839417517e+00,1.600003937225e+00,5.811678835033e-01,1.280006299567e-02,1.688780544079e-03,1.220170527338e+00,7.224555320337e-01
4,500K,5.000000000000e+05,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,7.999979247968e+00,2.905834097872e+00,3.999989623984e+00,1.452917048936e+00,3.199983398396e-02,4.221935902176e-03,3.050415149681e+00,7.224555320337e-01
4,1M,1.000000000000e+06,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,7.999848457694e+00,2.905814652963e+00,7.999848457694e+00,2.905814652963e+00,6.399757534607e-02,8.443758797375e-03,6.100748650042e+00,7.224555320337e-01
4,2M,2.000000000000e+06,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,7.999315241110e+00,2.905736851078e+00,1.599863048222e+01,5.811473702156e+00,1.279780886533e-01,1.688661329542e-02,1.220084392959e+01,7.224555320337e-01
4,5M,5.000000000000e+06,2,6.492161589044e+02,6.500000000000e+02,8.000033276503e+00,7.995577945984e+00,2.905193202260e+00,3.997788972992e+01,1.452596601130e+01,3.196463334515e-01,4.220073771229e-02,3.049069730759e+01,7.224555320337e-01
