signal,metric,value
short_circuit_current_uA,experiment_pp,1.133357946976e+01
short_circuit_current_uA,simulation_pp,1.599997944063e+01
short_circuit_current_uA,pp_error_percent,4.117322319329e+01
short_circuit_current_uA,rmse,2.978016699468e+00
short_circuit_current_uA,nrmse_percent,2.627604727540e+01
short_circuit_current_uA,scaled_rmse,2.595785235280e+00
short_circuit_current_uA,scaled_nrmse_percent,2.290348995396e+01
short_circuit_current_uA,correlation,4.831370786672e-01
short_circuit_current_uA,window_selected_start_s,1.001520000000e+02
short_circuit_current_uA,window_selected_end_s,1.008742000000e+02
short_circuit_current_uA,window_selected_duration_s,7.222000000000e-01
short_circuit_current_uA,window_correlation_before_sign,-4.831326313999e-01
short_circuit_current_uA,window_selected_peak_to_peak,1.133368100000e+01
transferred_charge_nC,experiment_pp,6.359262878581e+02
transferred_charge_nC,simulation_pp,6.492161587250e+02
transferred_charge_nC,pp_error_percent,2.089844549700e+00
transferred_charge_nC,rmse,1.121512184517e+02
transferred_charge_nC,nrmse_percent,1.763588337092e+01
transferred_charge_nC,scaled_rmse,1.107778665093e+02
transferred_charge_nC,scaled_nrmse_percent,1.741992250114e+01
transferred_charge_nC,correlation,9.208865924125e-01
transferred_charge_nC,window_selected_start_s,2.484000000000e+00
transferred_charge_nC,window_selected_end_s,3.206200000000e+00
transferred_charge_nC,window_selected_duration_s,7.222000000000e-01
transferred_charge_nC,window_correlation_before_sign,-9.208863121213e-01
transferred_charge_nC,window_selected_peak_to_peak,6.359265000000e+02
