time_s,position_m,motion_velocity_m_per_s,source_charge_C,source_current_A,load_charge_C,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.441974990528e-14,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.020964513990e-05,0.000000000000e+00,0.000000000000e+00,5.095801745913e-18,8.484886923613e-14,1.366885306604e-21,4.540419739821e-17,4.540419739821e-08,2.061541141376e-24,6.206233028178e-29
1.204192902798e-04,0.000000000000e+00,0.000000000000e+00,1.021750628159e-17,8.528016984982e-14,5.473756027037e-21,9.101483350256e-17,9.101483350256e-08,8.283699917499e-24,3.735039768026e-28
1.806289354197e-04,0.000000000000e+00,0.000000000000e+00,1.536524527510e-17,8.571366283415e-14,1.233307374677e-20,1.368329707419e-16,1.368329707419e-07,1.872326188204e-23,1.186543769931e-27
2.408385805596e-04,0.000000000000e+00,0.000000000000e+00,2.053915106378e-17,8.614935933328e-14,2.195736418210e-20,1.828596769384e-16,1.828596769384e-07,3.343766145001e-23,2.756839111927e-27
3.010482256995e-04,0.000000000000e+00,0.000000000000e+00,2.573935665769e-17,8.658727054803e-14,3.435921750573e-20,2.290960253354e-16,2.290960253354e-07,5.248498882446e-23,5.343525253180e-27
3.612578708394e-04,0.000000000000e+00,0.000000000000e+00,3.096599574298e-17,8.702740773615e-14,4.955128867398e-20,2.755430946244e-16,2.755430946244e-07,7.592399699521e-23,9.209254987669e-27
4.214675159793e-04,0.000000000000e+00,0.000000000000e+00,3.621920268534e-17,8.746978221262e-14,6.754629775565e-20,3.222019689734e-16,3.222019689734e-07,1.038141088104e-22,1.462023877200e-26
4.816771611192e-04,0.000000000000e+00,0.000000000000e+00,4.149911253348e-17,8.791440534992e-14,8.835703026264e-20,3.690737380542e-16,3.690737380542e-07,1.362154241213e-22,2.184628527246e-26
5.418868062591e-04,0.000000000000e+00,0.000000000000e+00,4.680586102259e-17,8.836128857837e-14,1.119963374821e-19,4.161594970705e-16,4.161594970705e-07,1.731887270019e-22,3.116084234443e-26
6.020964513990e-04,0.000000000000e+00,0.000000000000e+00,5.213958457780e-17,8.881044338636e-14,1.384771368104e-19,4.634603467862e-16,4.634603467862e-07,2.147954930432e-22,4.284103844883e-26
6.623060965389e-04,0.000000000000e+00,0.000000000000e+00,5.750042031772e-17,8.926188132068e-14,1.678124120888e-19,5.109773935537e-16,5.109773935537e-07,2.610978967230e-22,5.716772450995e-26
7.225157416788e-04,0.000000000000e+00,0.000000000000e+00,6.288850605797e-17,8.971561398684e-14,2.000152139407e-19,5.587117493421e-16,5.587117493421e-07,3.121588188529e-22,7.442551621940e-26
7.827253868187e-04,0.000000000000e+00,0.000000000000e+00,6.830398031469e-17,9.017165304931e-14,2.350986601107e-19,6.066645317656e-16,6.066645317656e-07,3.680418541024e-22,9.490283679068e-26
