time_s,position_m,motion_velocity_m_per_s,source_charge_C,source_current_A,load_charge_C,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.168762985673e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.020964513990e-05,0.000000000000e+00,0.000000000000e+00,3.714213674987e-14,6.168840620383e-10,9.962915260587e-18,3.309408397089e-13,3.309408397089e-04,1.095218393872e-16,3.297135542288e-21
1.204192902798e-04,0.000000000000e+00,0.000000000000e+00,7.428497525552e-14,6.168996089782e-10,3.984650442390e-17,6.617103906339e-13,6.617103906339e-04,4.378606410729e-16,1.977598799444e-20
1.806289354197e-04,0.000000000000e+00,0.000000000000e+00,1.114289847634e-13,6.169229595336e-10,8.964058288894e-17,9.923129257083e-13,9.923129257083e-04,9.846849425277e-16,6.260147038640e-20
2.408385805596e-04,0.000000000000e+00,0.000000000000e+00,1.485746357373e-13,6.169541339996e-10,1.593352235841e-16,1.322752726421e-12,1.322752726421e-03,1.749674775254e-15,1.449188845326e-19
3.010482256995e-04,0.000000000000e+00,0.000000000000e+00,1.857223998677e-13,6.169931528209e-10,2.489207574844e-16,1.653034082892e-12,1.653034082892e-03,2.732521679202e-15,2.798546135177e-19
3.612578708394e-04,0.000000000000e+00,0.000000000000e+00,2.228727500804e-13,6.170400365926e-10,3.583877741339e-16,1.983161293948e-12,1.983161293948e-03,3.932928717813e-15,4.805168150687e-19
4.214675159793e-04,0.000000000000e+00,0.000000000000e+00,2.600261605459e-13,6.170948060602e-10,4.877271221715e-16,2.313138667199e-12,2.313138667199e-03,5.350610493691e-15,7.599961158522e-19
4.816771611192e-04,0.000000000000e+00,0.000000000000e+00,2.971831066881e-13,6.171574821207e-10,6.369299098627e-16,2.642970519114e-12,2.642970519114e-03,6.985293164903e-15,1.131366306734e-18
5.418868062591e-04,0.000000000000e+00,0.000000000000e+00,3.343440651940e-13,6.172280858234e-10,8.059875056351e-16,2.972661175097e-12,2.972661175097e-03,8.836714461928e-15,1.607685039040e-18
6.020964513990e-04,0.000000000000e+00,0.000000000000e+00,3.715095140223e-13,6.173066383698e-10,9.948915386186e-16,3.302214969566e-12,3.302214969566e-03,1.090462370523e-14,2.201994521856e-18
6.623060965389e-04,0.000000000000e+00,0.000000000000e+00,4.086799324129e-13,6.173931611152e-10,1.203633899191e-15,3.631636246029e-12,3.631636246029e-03,1.318878182347e-14,2.927322220403e-18
7.225157416788e-04,0.000000000000e+00,0.000000000000e+00,4.458558008963e-13,6.174876755685e-10,1.432206739525e-15,3.960929357161e-12,3.960929357161e-03,1.568896137242e-14,3.796681555536e-18
7.827253868187e-04,0.000000000000e+00,0.000000000000e+00,4.830376013025e-13,6.175902033935e-10,1.680602474149e-15,4.290098664882e-12,4.290098664882e-03,1.840494655443e-14,4.823072604390e-18
8.429350319586e-04,0.000000000000e+00,0.000000000000e+00,5.202258167707e-13,6.177007664091e-10,1.948813780497e-15,4.619148540437e-12,4.619148540437e-03,2.133653323863e-14,6.019482802227e-18
9.031446770985e-04,0.000000000000e+00,0.000000000000e+00,5.574209317584e-13,6.178193865903e-10,2.236833599479e-15,4.948083364473e-12,4.948083364473e-03,2.448352898177e-14,7.398887645516e-18
9.633543222384e-04,0.000000000000e+00,0.000000000000e+00,5.946234320508e-13,6.179460860685e-10,2.544655136050e-15,5.276907527115e-12,5.276907527115e-03,2.784575304973e-14,8.974251396287e-18
1.023563967378e-03,0.000000000000e+00,0.000000000000e+00,6.318338047707e-13,6.180808871326e-10,2.872271859777e-15,5.605625428053e-12,5.605625428053e-03,3.142303643963e-14,1.075852778780e-17
1.083773612518e-03,0.000000000000e+00,0.000000000000e+00,6.690525383874e-13,6.182238122291e-10,3.219677505423e-15,5.934241476611e-12,5.934241476611e-03,3.521522190273e-14,1.276466073157e-17
1.143983257658e-03,0.000000000000e+00,0.000000000000e+00,7.062801227265e-13,6.183748839636e-10,3.586866073526e-15,6.262760091837e-12,6.262760091837e-03,3.922216396790e-14,1.500558502577e-17
1.204192902798e-03,0.000000000000e+00,0.000000000000e+00,7.435170489796e-13,6.185341251004e-10,3.973831830991e-15,6.591185702574e-12,6.591185702574e-03,4.344372896582e-14,1.749422706513e-17
1.264402547938e-03,0.000000000000e+00,0.000000000000e+00,7.807638097135e-13,6.187015585643e-10,4.380569311676e-15,6.919522747549e-12,6.919522747549e-03,4.787979505384e-14,2.024350555221e-17
1.324612193078e-03,0.000000000000e+00,0.000000000000e+00,8.180208988804e-13,6.188772074404e-10,4.807073316996e-15,7.247775675445e-12,7.247775675445e-03,5.253025224157e-14,2.326633221027e-17
1.384821838218e-03,0.000000000000e+00,0.000000000000e+00,8.552888118272e-13,6.190610949753e-10,5.253338916520e-15,7.575948944988e-12,7.575948944988e-03,5.739500241707e-14,2.657561249773e-17
1.445031483358e-03,0.000000000000e+00,0.000000000000e+00,8.925680453052e-13,6.192532445775e-10,5.719361448581e-15,7.904047025028e-12,7.904047025028e-03,6.247395937386e-14,3.018424632409e-17
1.505241128498e-03,0.000000000000e+00,0.000000000000e+00,9.298590974804e-13,6.194536798185e-10,6.205136520886e-15,8.232074394618e-12,8.232074394618e-03,6.776704883853e-14,3.410512876765e-17
1.565450773637e-03,0.000000000000e+00,0.000000000000e+00,9.671624679424e-13,6.196624244327e-10,6.710660011136e-15,8.560035543097e-12,8.560035543097e-03,7.327420849909e-14,3.835115079485e-17
1.625660418777e-03,0.000000000000e+00,0.000000000000e+00,1.004478657715e-12,6.198795023193e-10,7.235928067644e-15,8.887934970174e-12,8.887934970174e-03,7.899538803404e-14,4.293519998127e-17
1.685870063917e-03,0.000000000000e+00,0.000000000000e+00,1.041808169267e-12,6.201049375417e-10,7.780937109963e-15,9.215777186008e-12,9.215777186008e-03,8.493054914214e-14,4.787016123458e-17
1.746079709057e-03,0.000000000000e+00,0.000000000000e+00,1.079151506519e-12,6.203387543291e-10,8.345683829520e-15,9.543566711293e-12,9.543566711293e-03,9.107966557290e-14,5.316891751907e-17
1.806289354197e-03,0.000000000000e+00,0.000000000000e+00,1.116509174856e-12,6.205809770772e-10,8.930165190250e-15,9.871308077341e-12,9.871308077341e-03,9.744272315777e-14,5.884435058227e-17
1.866498999337e-03,0.000000000000e+00,0.000000000000e+00,1.153881681139e-12,6.208316303481e-10,9.534378429238e-15,1.019900582616e-11,1.019900582616e-02,1.040197198421e-13,6.490934168329e-17
1.926708644477e-03,0.000000000000e+00,0.000000000000e+00,1.191269533710e-12,6.210907388721e-10,1.015832105737e-14,1.052666451056e-11,1.052666451056e-02,1.108106657179e-13,7.137677232321e-17
1.986918289617e-03,0.000000000000e+00,0.000000000000e+00,1.228673242407e-12,6.213583275477e-10,1.080199085997e-14,1.085428869420e-11,1.085428869420e-02,1.178155830571e-13,7.825952497742e-17
2.047127934757e-03,0.000000000000e+00,0.000000000000e+00,1.266093318571e-12,6.216344214424e-10,1.146538589750e-14,1.118188295171e-11,1.118188295171e-02,1.250345063457e-13,8.557048382999e-17
2.107337579897e-03,0.000000000000e+00,0.000000000000e+00,1.303530275058e-12,6.219190457939e-10,1.214850450614e-14,1.150945186874e-11,1.150945186874e-02,1.324674823189e-13,9.332253551014e-17
2.167547225036e-03,0.000000000000e+00,0.000000000000e+00,1.340984626249e-12,6.222122260102e-10,1.285134529855e-14,1.183700004209e-11,1.183700004209e-02,1.401145699965e-13,1.015285698309e-16
2.227756870176e-03,0.000000000000e+00,0.000000000000e+00,1.378456888060e-12,6.225139876707e-10,1.357390716449e-14,1.216453207975e-11,1.216453207975e-02,1.479758407194e-13,1.102014805296e-16
2.287966515316e-03,0.000000000000e+00,0.000000000000e+00,1.415947577952e-12,6.228243565271e-10,1.431618927149e-14,1.249205260102e-11,1.249205260102e-02,1.560513781868e-13,1.193541660112e-16
2.348176160456e-03,0.000000000000e+00,0.000000000000e+00,1.453457214941e-12,6.231433585037e-10,1.507819106555e-14,1.281956623658e-11,1.281956623658e-02,1.643412784941e-13,1.289995300933e-16
