signal,metric,value
short_circuit_current_uA,experiment_pp,1.127370367622e+01
short_circuit_current_uA,simulation_pp,1.133352506945e+01
short_circuit_current_uA,pp_error_percent,5.306276885294e-01
short_circuit_current_uA,rmse,2.797367950936e+00
short_circuit_current_uA,nrmse_percent,2.481321162306e+01
short_circuit_current_uA,scaled_rmse,2.792392847895e+00
short_circuit_current_uA,scaled_nrmse_percent,2.476908146686e+01
short_circuit_current_uA,correlation,5.390058949506e-01
short_circuit_current_uA,window_selected_start_s,3.609000000000e+01
short_circuit_current_uA,window_selected_end_s,3.681220000000e+01
short_circuit_current_uA,window_selected_duration_s,7.222000000000e-01
short_circuit_current_uA,window_correlation_before_sign,-5.390005960499e-01
short_circuit_current_uA,window_selected_peak_to_peak,1.127424900000e+01
transferred_charge_nC,experiment_pp,6.346331793543e+02
transferred_charge_nC,simulation_pp,6.499999632744e+02
transferred_charge_nC,pp_error_percent,2.421364722176e+00
transferred_charge_nC,rmse,1.029484002072e+02
transferred_charge_nC,nrmse_percent,1.622171729376e+01
transferred_charge_nC,scaled_rmse,1.022940635185e+02
transferred_charge_nC,scaled_nrmse_percent,1.611861258540e+01
transferred_charge_nC,correlation,9.248023276639e-01
transferred_charge_nC,window_selected_start_s,7.317000000000e+01
transferred_charge_nC,window_selected_end_s,7.389220000000e+01
transferred_charge_nC,window_selected_duration_s,7.222000000000e-01
transferred_charge_nC,window_correlation_before_sign,-9.248041428242e-01
transferred_charge_nC,window_selected_peak_to_peak,6.346395000000e+02
