time_s,position_m,motion_velocity_m_per_s,source_charge_C,source_current_A,load_charge_C,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.610189768441e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.020964513990e-05,0.000000000000e+00,0.000000000000e+00,3.979996910945e-15,6.610273171332e-11,1.067584566504e-18,3.546224409805e-14,3.546224409805e-05,1.257570756470e-18,3.785894449268e-23
1.204192902798e-04,0.000000000000e+00,0.000000000000e+00,7.960069211987e-15,6.610440193760e-11,4.269785755962e-18,7.090613532081e-14,7.090613532081e-05,5.027680026134e-18,2.270753041106e-22
1.806289354197e-04,0.000000000000e+00,0.000000000000e+00,1.194026731586e-14,6.610691053984e-11,9.605512367261e-18,1.063321326976e-13,1.063321326976e-04,1.130652244402e-17,7.188135712961e-22
2.408385805596e-04,0.000000000000e+00,0.000000000000e+00,1.592064176720e-14,6.611025971887e-11,1.707370086525e-17,1.417406961866e-13,1.417406961866e-04,2.009042495547e-17,1.664013101996e-21
3.010482256995e-04,0.000000000000e+00,0.000000000000e+00,1.990124324352e-14,6.611445168977e-11,2.667331543690e-17,1.771322866835e-13,1.771322866835e-04,3.137584698573e-17,3.213396087123e-21
3.612578708394e-04,0.000000000000e+00,0.000000000000e+00,2.388212255620e-14,6.611948868399e-11,3.840334804803e-17,2.125073660291e-13,2.125073660291e-04,4.515938061664e-17,5.517475534443e-21
4.214675159793e-04,0.000000000000e+00,0.000000000000e+00,2.786333065146e-14,6.612537294937e-11,5.226281850044e-17,2.478663970183e-13,2.478663970183e-04,6.143775077082e-17,8.726563261328e-21
4.816771611192e-04,0.000000000000e+00,0.000000000000e+00,3.184491861136e-14,6.613210675026e-11,6.825077448958e-17,2.832098434077e-13,2.832098434077e-04,8.020781540301e-17,1.299077789881e-20
5.418868062591e-04,0.000000000000e+00,0.000000000000e+00,3.582693765481e-14,6.613969236757e-11,8.636629166277e-17,3.185381699246e-13,3.185381699246e-04,1.014665656989e-16,1.846005290739e-20
6.020964513990e-04,0.000000000000e+00,0.000000000000e+00,3.980943913854e-14,6.614813209883e-11,1.066084736778e-16,3.538518422750e-13,3.538518422750e-04,1.252111262814e-16,2.528414460502e-20
6.623060965389e-04,0.000000000000e+00,0.000000000000e+00,4.379247455811e-14,6.615742825828e-11,1.289764522624e-16,3.891513271520e-13,3.891513271520e-04,1.514387554242e-16,3.361264020777e-20
7.225157416788e-04,0.000000000000e+00,0.000000000000e+00,4.777609554893e-14,6.616758317695e-11,1.534693872733e-16,4.244370922446e-13,4.244370922446e-04,1.801468452731e-16,4.359496588351e-20
7.827253868187e-04,0.000000000000e+00,0.000000000000e+00,5.176035388728e-14,6.617859920268e-11,1.800864667571e-16,4.597096062458e-13,4.597096062458e-04,2.113329220747e-16,5.538039481924e-20
8.429350319586e-04,0.000000000000e+00,0.000000000000e+00,5.574530149130e-14,6.619047870028e-11,2.088269070108e-16,4.949693388612e-13,4.949693388612e-04,2.449946464127e-16,6.911805530233e-20
9.031446770985e-04,0.000000000000e+00,0.000000000000e+00,5.973099042202e-14,6.620322405151e-11,2.396899526428e-16,5.302167608178e-13,5.302167608178e-04,2.811298134522e-16,8.495693881627e-20
9.633543222384e-04,0.000000000000e+00,0.000000000000e+00,6.371747288440e-14,6.621683765523e-11,2.726748766349e-16,5.654523438723e-13,5.654523438723e-04,3.197363531907e-16,1.030459081513e-19
1.023563967378e-03,0.000000000000e+00,0.000000000000e+00,6.770480122836e-14,6.623132192743e-11,3.077809804044e-16,6.006765608198e-13,6.006765608198e-04,3.608123307183e-16,1.235337055306e-19
1.083773612518e-03,0.000000000000e+00,0.000000000000e+00,7.169302794977e-14,6.624667930131e-11,3.450075938669e-16,6.358898855026e-13,6.358898855026e-04,4.043559464845e-16,1.465689607520e-19
1.143983257658e-03,0.000000000000e+00,0.000000000000e+00,7.568220569156e-14,6.626291222738e-11,3.843540754997e-16,6.710927928187e-13,6.710927928187e-04,4.503655365731e-16,1.723001993462e-19
1.204192902798e-03,0.000000000000e+00,0.000000000000e+00,7.967238724470e-14,6.628002317350e-11,4.258198124058e-16,7.062857587306e-13,7.062857587306e-04,4.988395729857e-16,2.008758507519e-19
1.264402547938e-03,0.000000000000e+00,0.000000000000e+00,8.366362554930e-14,6.629801462499e-11,4.694042203777e-16,7.414692602742e-13,7.414692602742e-04,5.497766639316e-16,2.324442565083e-19
1.324612193078e-03,0.000000000000e+00,0.000000000000e+00,8.765597369561e-14,6.631688908468e-11,5.151067439628e-16,7.766437755675e-13,7.766437755675e-04,6.031755541278e-16,2.671536784646e-19
1.384821838218e-03,0.000000000000e+00,0.000000000000e+00,9.164948492512e-14,6.633664907299e-11,5.629268565288e-16,8.118097838193e-13,8.118097838193e-04,6.590351251048e-16,3.051523070088e-19
1.445031483358e-03,0.000000000000e+00,0.000000000000e+00,9.564421263161e-14,6.635729712802e-11,6.128640603292e-16,8.469677653382e-13,8.469677653382e-04,7.173543955221e-16,3.465882693144e-19
1.505241128498e-03,0.000000000000e+00,0.000000000000e+00,9.964021036220e-14,6.637883580564e-11,6.649178865703e-16,8.821182015417e-13,8.821182015417e-04,7.781325214912e-16,3.916096376068e-19
1.565450773637e-03,0.000000000000e+00,0.000000000000e+00,1.036375318184e-13,6.640126767952e-11,7.190878954780e-16,9.172615749648e-13,9.172615749648e-04,8.413687969069e-16,4.403644374489e-19
1.625660418777e-03,0.000000000000e+00,0.000000000000e+00,1.076362308574e-13,6.642459534126e-11,7.753736763653e-16,9.523983692691e-13,9.523983692691e-04,9.070626537865e-16,4.930006560478e-19
1.685870063917e-03,0.000000000000e+00,0.000000000000e+00,1.116363614927e-13,6.644882140042e-11,8.337748477005e-16,9.875290692521e-13,9.875290692521e-04,9.752136626180e-16,5.496662505808e-19
1.746079709057e-03,0.000000000000e+00,0.000000000000e+00,1.156379778955e-13,6.647394848465e-11,8.942910571760e-16,1.022654160856e-12,1.022654160856e-03,1.045821532716e-15,6.105091565439e-19
1.806289354197e-03,0.000000000000e+00,0.000000000000e+00,1.196411343961e-13,6.649997923975e-11,9.569219817772e-16,1.057774131176e-12,1.057774131176e-03,1.118886112586e-15,6.756772961215e-19
1.866498999337e-03,0.000000000000e+00,0.000000000000e+00,1.236458854843e-13,6.652691632971e-11,1.021667327852e-15,1.092889468472e-12,1.092889468472e-03,1.194407390298e-15,7.453185865781e-19
1.926708644477e-03,0.000000000000e+00,0.000000000000e+00,1.276522858108e-13,6.655476243687e-11,1.088526831183e-15,1.128000662175e-12,1.128000662175e-03,1.272385493868e-15,8.195809486727e-19
1.986918289617e-03,0.000000000000e+00,0.000000000000e+00,1.316603901888e-13,6.658352026192e-11,1.157500257054e-15,1.163108202897e-12,1.163108202897e-03,1.352820691647e-15,8.986123150972e-19
2.047127934757e-03,0.000000000000e+00,0.000000000000e+00,1.356702535941e-13,6.661319252403e-11,1.228587400328e-15,1.198212582441e-12,1.198212582441e-03,1.435713392721e-15,9.825606389373e-19
2.107337579897e-03,0.000000000000e+00,0.000000000000e+00,1.396819311672e-13,6.664378196094e-11,1.301788085511e-15,1.233314293811e-12,1.233314293811e-03,1.521064147317e-15,1.071573902159e-18
2.167547225036e-03,0.000000000000e+00,0.000000000000e+00,1.436954782137e-13,6.667529132900e-11,1.377102166833e-15,1.268413831217e-12,1.268413831217e-03,1.608873647223e-15,1.165800124119e-18
2.227756870176e-03,0.000000000000e+00,0.000000000000e+00,1.477109502061e-13,6.670772340327e-11,1.454529528316e-15,1.303511690092e-12,1.303511690092e-03,1.699142726206e-15,1.265387370099e-18
2.287966515316e-03,0.000000000000e+00,0.000000000000e+00,1.517284027842e-13,6.674108097763e-11,1.534070083846e-15,1.338608367093e-12,1.338608367093e-03,1.791872360452e-15,1.370483759872e-18
2.348176160456e-03,0.000000000000e+00,0.000000000000e+00,1.557478917566e-13,6.677536686484e-11,1.615723777252e-15,1.373704360118e-12,1.373704360118e-03,1.887063669007e-15,1.481237476285e-18
2.408385805596e-03,0.000000000000e+00,0.000000000000e+00,1.597694731021e-13,6.681058389659e-11,1.699490582381e-15,1.408800168309e-12,1.408800168309e-03,1.984717914227e-15,1.597796773878e-18
2.468595450736e-03,0.000000000000e+00,0.000000000000e+00,1.637932029704e-13,6.684673492368e-11,1.785370503166e-15,1.443896292066e-12,1.443896292066e-03,2.084836502241e-15,1.720309987524e-18
2.528805095876e-03,0.000000000000e+00,0.000000000000e+00,1.678191376833e-13,6.688382281599e-11,1.873363573712e-15,1.478993233054e-12,1.478993233054e-03,2.187420983421e-15,1.848925541103e-18
2.589014741016e-03,0.000000000000e+00,0.000000000000e+00,1.718473337362e-13,6.692185046265e-11,1.963469858363e-15,1.514091494216e-12,1.514091494216e-03,2.292473052858e-15,1.983791956198e-18
2.649224386156e-03,0.000000000000e+00,0.000000000000e+00,1.758778477990e-13,6.696082077209e-11,2.055689451787e-15,1.549191579778e-12,1.549191579778e-03,2.399994550855e-15,2.125057860823e-18
2.709434031296e-03,0.000000000000e+00,0.000000000000e+00,1.799107367170e-13,6.700073667214e-11,2.150022479049e-15,1.584293995261e-12,1.584293995261e-03,2.509987463421e-15,2.272871998184e-18
2.769643676435e-03,0.000000000000e+00,0.000000000000e+00,1.839460575128e-13,6.704160111011e-11,2.246469095691e-15,1.619399247492e-12,1.619399247492e-03,2.622453922779e-15,2.427383235466e-18
2.829853321575e-03,0.000000000000e+00,0.000000000000e+00,1.879838673868e-13,6.708341705285e-11,2.345029487809e-15,1.654507844613e-12,1.654507844613e-03,2.737396207884e-15,2.588740572652e-18
2.890062966715e-03,0.000000000000e+00,0.000000000000e+00,1.920242237186e-13,6.712618748691e-11,2.445703872136e-15,1.689620296087e-12,1.689620296087e-03,2.854816744948e-15,2.757093151370e-18
2.950272611855e-03,0.000000000000e+00,0.000000000000e+00,1.960671840685e-13,6.716991541855e-11,2.548492496118e-15,1.724737112715e-12,1.724737112715e-03,2.974718107975e-15,2.932590263783e-18
3.010482256995e-03,0.000000000000e+00,0.000000000000e+00,2.001128061779e-13,6.721460387388e-11,2.653395637999e-15,1.759858806639e-12,1.759858806639e-03,3.097103019306e-15,3.115381361496e-18
3.070691902135e-03,0.000000000000e+00,0.000000000000e+00,2.041611479715e-13,6.726025589891e-11,2.760413606896e-15,1.794985891359e-12,1.794985891359e-03,3.221974350177e-15,3.305616064510e-18
3.130901547275e-03,0.000000000000e+00,0.000000000000e+00,2.082122675577e-13,6.730687455969e-11,2.869546742887e-15,1.830118881734e-12,1.830118881734e-03,3.349335121281e-15,3.503444170200e-18
3.191111192415e-03,0.000000000000e+00,0.000000000000e+00,2.122662232302e-13,6.735446294234e-11,2.980795417092e-15,1.865258294002e-12,1.865258294002e-03,3.479188503342e-15,3.709015662334e-18
3.251320837555e-03,0.000000000000e+00,0.000000000000e+00,2.163230734692e-13,6.740302415321e-11,3.094160031752e-15,1.900404645780e-12,1.900404645780e-03,3.611537817703e-15,3.922480720122e-18
3.311530482695e-03,0.000000000000e+00,0.000000000000e+00,2.203828769424e-13,6.745256131890e-11,3.209641020318e-15,1.935558456084e-12,1.935558456084e-03,3.746386536918e-15,4.143989727300e-18
3.371740127834e-03,0.000000000000e+00,0.000000000000e+00,2.244456925065e-13,6.750307758639e-11,3.327238847533e-15,1.970720245331e-12,1.970720245331e-03,3.883738285358e-15,4.373693281262e-18
3.431949772974e-03,0.000000000000e+00,0.000000000000e+00,2.285115792081e-13,6.755457612314e-11,3.446954009516e-15,2.005890535355e-12,2.005890535355e-03,4.023596839826e-15,4.611742202207e-18
3.492159418114e-03,0.000000000000e+00,0.000000000000e+00,2.325805962854e-13,6.760706011716e-11,3.568787033847e-15,2.041069849412e-12,2.041069849412e-03,4.165966130180e-15,4.858287542344e-18
3.552369063254e-03,0.000000000000e+00,0.000000000000e+00,2.366528031689e-13,6.766053277712e-11,3.692738479656e-15,2.076258712197e-12,2.076258712197e-03,4.310850239973e-15,5.113480595125e-18
3.612578708394e-03,0.000000000000e+00,0.000000000000e+00,2.407282594832e-13,6.771499733243e-11,3.818808937709e-15,2.111457649846e-12,2.111457649846e-03,4.458253407093e-15,5.377472904518e-18
3.672788353534e-03,0.000000000000e+00,0.000000000000e+00,2.448070250477e-13,6.777045703333e-11,3.946999030492e-15,2.146667189954e-12,2.146667189954e-03,4.608180024427e-15,5.650416274316e-18
3.732997998674e-03,0.000000000000e+00,0.000000000000e+00,2.488891598782e-13,6.782691515101e-11,4.077309412302e-15,2.181887861582e-12,2.181887861582e-03,4.760634640519e-15,5.932462777495e-18
3.793207643814e-03,0.000000000000e+00,0.000000000000e+00,2.529747241883e-13,6.788437497770e-11,4.209740769337e-15,2.217120195266e-12,2.217120195266e-03,4.915621960257e-15,6.223764765603e-18
3.853417288954e-03,0.000000000000e+00,0.000000000000e+00,2.570637783902e-13,6.794283982672e-11,4.344293819782e-15,2.252364723031e-12,2.252364723031e-03,5.073146845554e-15,6.524474878194e-18
3.913626934094e-03,0.000000000000e+00,0.000000000000e+00,2.611563830962e-13,6.800231303264e-11,4.480969313898e-15,2.287621978398e-12,2.287621978398e-03,5.233214316051e-15,6.834746052306e-18
3.973836579233e-03,0.000000000000e+00,0.000000000000e+00,2.652525991204e-13,6.806279795135e-11,4.619768034118e-15,2.322892496399e-12,2.322892496399e-03,5.395829549827e-15,7.154731531976e-18
4.034046224373e-03,0.000000000000e+00,0.000000000000e+00,2.693524874791e-13,6.812429796014e-11,4.760690795133e-15,2.358176813582e-12,2.358176813582e-03,5.560997884117e-15,7.484584877805e-18
4.094255869513e-03,0.000000000000e+00,0.000000000000e+00,2.734561093930e-13,6.818681645781e-11,4.903738443985e-15,2.393475468028e-12,2.393475468028e-03,5.728724816050e-15,7.824459976557e-18
4.154465514653e-03,0.000000000000e+00,0.000000000000e+00,2.775635262878e-13,6.825035686479e-11,5.048911860161e-15,2.428788999355e-12,2.428788999355e-03,5.899016003387e-15,8.174511050816e-18
4.214675159793e-03,0.000000000000e+00,0.000000000000e+00,2.816747997960e-13,6.831492262321e-11,5.196211955684e-15,2.464117948735e-12,2.464117948735e-03,6.071877265278e-15,8.534892668673e-18
4.274884804933e-03,0.000000000000e+00,0.000000000000e+00,2.857899917579e-13,6.838051719702e-11,5.345639675210e-15,2.499462858901e-12,2.499462858901e-03,6.247314583026e-15,8.905759753471e-18
