time_s,position_m,motion_velocity_m_per_s,source_charge_C,load_charge_C,source_current_A,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.858225894671e-05,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.371645178934e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.700257173032e-24,2.168404344971e-19,4.958300292656e-20,4.958300292656e-14,2.458474179215e-33,8.430385638636e-38
2.057467768401e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,6.023462860537e-24,0.000000000000e+00,7.649058385521e-20,7.649058385521e-14,5.850809418511e-33,3.692385760668e-37
2.743290357869e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.006982656286e-23,0.000000000000e+00,4.150972014367e-20,4.150972014367e-14,1.723056866406e-33,6.289550054568e-37
3.429112947336e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.226569717094e-23,0.000000000000e+00,2.252639187155e-20,2.252639187155e-14,5.074383307506e-34,7.054412050522e-37
4.114935536803e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.345734678086e-23,0.000000000000e+00,1.222456641467e-20,1.222456641467e-14,1.494400240266e-34,7.279663057641e-37
4.800758126270e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.410402823266e-23,0.000000000000e+00,6.633997352028e-21,6.633997352028e-15,4.400992086672e-35,7.345999228711e-37
5.486580715737e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.445496771742e-23,0.000000000000e+00,3.600121212799e-21,3.600121212799e-15,1.296087274685e-35,7.365535157311e-37
6.172403305204e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.464541468572e-23,0.000000000000e+00,1.953704841755e-21,1.953704841755e-15,3.816962608697e-36,7.371288466556e-37
6.858225894671e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.474876597366e-23,0.000000000000e+00,1.060231693068e-21,1.060231693068e-15,1.124091242986e-36,7.372982809729e-37
7.544048484138e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.480485239401e-23,0.000000000000e+00,5.753639029612e-22,5.753639029612e-16,3.310436208307e-37,7.373481791909e-37
8.229871073606e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.483528923336e-23,0.000000000000e+00,3.122370544053e-22,3.122370544053e-16,9.749197814367e-38,7.373628741606e-37
8.915693663073e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.485180662178e-23,0.000000000000e+00,1.694440294949e-22,1.694440294949e-16,2.871127913148e-38,7.373672018129e-37
9.601516252540e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.486077023711e-23,0.000000000000e+00,9.195346524828e-23,9.195346524828e-17,8.455439771166e-39,7.373684763016e-37
1.028733884201e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.486563458963e-23,0.000000000000e+00,4.990107822843e-23,4.990107822843e-17,2.490117608360e-39,7.373688516372e-37
1.097316143147e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.486827436438e-23,0.000000000000e+00,2.708019324379e-23,2.708019324379e-17,7.333368661210e-40,7.373689621731e-37
1.165898402094e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.486970691078e-23,0.000000000000e+00,1.469581203765e-23,1.469581203765e-17,2.159668914459e-40,7.373689947258e-37
1.234480661041e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487048432151e-23,0.000000000000e+00,7.975086791357e-24,7.975086791357e-18,6.360200932967e-41,7.373690043125e-37
1.303062919988e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487090620483e-23,0.000000000000e+00,4.327900300217e-24,4.327900300217e-18,1.873072100862e-41,7.373690071358e-37
1.371645178934e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487113515143e-23,0.000000000000e+00,2.348654190060e-24,2.348654190060e-18,5.516176504488e-42,7.373690079672e-37
1.440227437881e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487125939560e-23,0.000000000000e+00,1.274561824867e-24,1.274561824867e-18,1.624507845409e-42,7.373690082121e-37
1.508809696828e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487132682011e-23,0.000000000000e+00,6.916760467694e-25,6.916760467694e-19,4.784157536745e-43,7.373690082842e-37
1.577391955774e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487136340988e-23,0.000000000000e+00,3.753570398394e-25,3.753570398394e-19,1.408929073570e-43,7.373690083054e-37
1.645974214721e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487138326633e-23,0.000000000000e+00,2.036978264826e-25,2.036978264826e-19,4.149280451373e-44,7.373690083117e-37
1.714556473668e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487139404198e-23,0.000000000000e+00,1.105422307558e-25,1.105422307558e-19,1.221958478046e-44,7.373690083135e-37
1.783138732615e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487139988968e-23,0.000000000000e+00,5.998878334377e-26,5.998878334377e-20,3.598654127066e-45,7.373690083141e-37
1.851720991561e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140306309e-23,0.000000000000e+00,3.255456401108e-26,3.255456401108e-20,1.059799637952e-45,7.373690083142e-37
1.920303250508e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140478523e-23,0.000000000000e+00,1.766662997444e-26,1.766662997444e-20,3.121098146540e-46,7.373690083143e-37
1.988885509455e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140571980e-23,0.000000000000e+00,9.587282893658e-27,9.587282893658e-21,9.191599328304e-47,7.373690083143e-37
2.057467768401e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140622697e-23,0.000000000000e+00,5.202802878421e-27,5.202802878421e-21,2.706915779170e-47,7.373690083143e-37
2.126050027348e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140650220e-23,0.000000000000e+00,2.823444149083e-27,2.823444149083e-21,7.971836862991e-48,7.373690083143e-37
2.194632286295e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140665156e-23,0.000000000000e+00,1.532219661071e-27,1.532219661071e-21,2.347697089771e-48,7.373690083143e-37
2.263214545242e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140673262e-23,0.000000000000e+00,8.315011616340e-28,8.315011616340e-22,6.913941817987e-49,7.373690083143e-37
2.331796804188e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140677660e-23,0.000000000000e+00,4.512369860309e-28,4.512369860309e-22,2.036148175622e-49,7.373690083143e-37
2.400379063135e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.317114962744e-23,-2.168404344971e-19,-4.958300268168e-20,-4.958300268168e-14,2.458474154932e-33,8.216728638680e-37
2.468961322082e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.054820112592e-23,2.168404344971e-19,-2.690758079577e-20,-2.690758079577e-14,7.240179042808e-34,9.308041111184e-37
2.537543581028e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.082504311813e-23,0.000000000000e+00,3.498086378366e-20,3.498086378366e-14,1.223660831051e-33,9.975922148041e-37
2.606125839975e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.267553621619e-23,0.000000000000e+00,1.898332831126e-20,1.898332831126e-14,3.603667537731e-34,1.051910309805e-36
2.674708098922e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.367975721643e-23,0.000000000000e+00,1.030182547812e-20,1.030182547812e-14,1.061276081816e-34,1.067906928369e-36
2.743290357869e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.422472537566e-23,0.000000000000e+00,5.590569074164e-21,5.590569074164e-15,3.125446257300e-35,1.072617914745e-36
2.811872616815e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.282021017029e-23,-2.168404344971e-19,-4.654912678107e-20,-4.654912678107e-14,2.166821204080e-33,1.147992412022e-36
2.880454875762e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.035775417259e-23,2.168404344971e-19,-2.526116455422e-20,-2.526116455422e-14,6.381264346353e-34,1.244177234667e-36
2.949037134709e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.072169183832e-23,0.000000000000e+00,3.587433686207e-20,3.587433686207e-14,1.286968045293e-33,1.310190898727e-36
3.017619393655e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.261944980025e-23,0.000000000000e+00,1.946819606323e-20,1.946819606323e-14,3.790106579564e-34,1.367319190140e-36
3.086201652602e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.364932037947e-23,0.000000000000e+00,1.056495230598e-20,1.056495230598e-14,1.116182172276e-34,1.384143408422e-36
3.154783911549e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.420820798855e-23,0.000000000000e+00,5.733362087843e-21,5.733362087843e-15,3.287144083032e-35,1.389098121994e-36
3.223366170496e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.281124655566e-23,-2.168404344971e-19,-4.647163622292e-20,-4.647163622292e-14,2.159612973236e-33,1.464280888905e-36
3.291948429442e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.035288982046e-23,2.168404344971e-19,-2.521911217051e-20,-2.521911217051e-14,6.360036186685e-34,1.560145739416e-36
3.360530688389e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.071905206378e-23,0.000000000000e+00,3.589715774526e-20,3.589715774526e-14,1.288605934188e-33,1.626142774779e-36
3.429112947336e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.261801725396e-23,0.000000000000e+00,1.948058044346e-20,1.948058044346e-14,3.794930144143e-34,1.683343771800e-36
3.497695206282e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.364854296880e-23,0.000000000000e+00,1.057167303070e-20,1.057167303070e-14,1.117602706680e-34,1.700189401803e-36
3.566277465229e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.420778610526e-23,0.000000000000e+00,5.737009274048e-21,5.737009274048e-15,3.291327541051e-35,1.705150421103e-36
3.634859724176e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.451127478211e-23,0.000000000000e+00,3.113345949590e-21,3.113345949590e-15,9.692923001826e-36,1.706611435769e-36
3.703441983123e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.297571409077e-23,-2.168404344971e-19,-4.789346007613e-20,-4.789346007613e-14,2.293783518063e-33,1.785600244648e-36
3.772024242069e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.044214265409e-23,2.168404344971e-19,-2.599070400921e-20,-2.599070400921e-14,6.755166948941e-34,1.887420902696e-36
