time_s,position_m,motion_velocity_m_per_s,source_charge_C,load_charge_C,source_current_A,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.858225894671e-05,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.371645178934e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.136076274896e-27,2.168404344971e-19,3.313032531573e-23,6.626065063147e-14,2.195236911053e-36,7.527715314160e-41
2.057467768401e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.543957944990e-27,0.000000000000e+00,6.625052688810e-23,1.325010537762e-13,8.778264625901e-36,4.515709151214e-40
2.743290357869e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.086874532278e-27,0.000000000000e+00,6.623028249491e-23,1.324605649898e-13,8.772900638710e-36,1.053420195618e-39
3.429112947336e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.362840292548e-26,0.000000000000e+00,6.621004428786e-23,1.324200885757e-13,8.767539929200e-36,1.654901714152e-39
4.114935536803e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.816854354879e-26,0.000000000000e+00,6.618981226507e-23,1.323796245301e-13,8.762182495369e-36,2.256015695445e-39
4.800758126270e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.270729682627e-26,0.000000000000e+00,6.616958642464e-23,1.323391728493e-13,8.756828335216e-36,2.856762364082e-39
5.486580715737e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.724466318187e-26,0.000000000000e+00,6.614936676469e-23,1.322987335294e-13,8.751477446740e-36,3.457141944510e-39
6.172403305204e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,3.178064303938e-26,0.000000000000e+00,6.612915328333e-23,1.322583065667e-13,8.746129827941e-36,4.057154661040e-39
6.858225894671e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,3.631523682248e-26,0.000000000000e+00,6.610894597867e-23,1.322178919573e-13,8.740785476823e-36,4.656800737846e-39
7.544048484138e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.084844495473e-26,0.000000000000e+00,6.608874484883e-23,1.321774896977e-13,8.735444391387e-36,5.256080398962e-39
8.229871073606e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.538026785953e-26,0.000000000000e+00,6.606854989191e-23,1.321370997838e-13,8.730106569639e-36,5.854993868291e-39
8.915693663073e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,4.991070596018e-26,0.000000000000e+00,6.604836110603e-23,1.320967222121e-13,8.724772009585e-36,6.453541369592e-39
9.601516252540e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,5.443975967984e-26,0.000000000000e+00,6.602817848930e-23,1.320563569786e-13,8.719440709231e-36,7.051723126494e-39
1.028733884201e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,5.896742944153e-26,0.000000000000e+00,6.600800203985e-23,1.320160040797e-13,8.714112666585e-36,7.649539362485e-39
1.097316143147e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,6.349371566816e-26,0.000000000000e+00,6.598783175578e-23,1.319756635116e-13,8.708787879657e-36,8.246990300917e-39
1.165898402094e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,6.801861878250e-26,0.000000000000e+00,6.596766763521e-23,1.319353352704e-13,8.703466346458e-36,8.844076165008e-39
1.234480661041e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.254213920719e-26,0.000000000000e+00,6.594750967625e-23,1.318950193525e-13,8.698148064998e-36,9.440797177837e-39
1.303062919988e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.706427736474e-26,0.000000000000e+00,6.592735787703e-23,1.318547157541e-13,8.692833033292e-36,1.003715356235e-38
1.371645178934e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,8.158503367754e-26,0.000000000000e+00,6.590721223566e-23,1.318144244713e-13,8.687521249354e-36,1.063314554135e-38
1.440227437881e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,8.610440856784e-26,0.000000000000e+00,6.588707275027e-23,1.317741455005e-13,8.682212711198e-36,1.122877333751e-38
1.508809696828e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.062240245777e-26,0.000000000000e+00,6.586693941896e-23,1.317338788379e-13,8.676907416842e-36,1.182403717336e-38
1.577391955774e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.513901576932e-26,0.000000000000e+00,6.584681223986e-23,1.316936244797e-13,8.671605364303e-36,1.241893727131e-38
1.645974214721e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,9.965424892437e-26,0.000000000000e+00,6.582669121109e-23,1.316533824222e-13,8.666306551600e-36,1.301347385361e-38
1.714556473668e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.041681023446e-25,0.000000000000e+00,6.580657633077e-23,1.316131526615e-13,8.661010976755e-36,1.360764714240e-38
1.783138732615e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.086805764518e-25,0.000000000000e+00,6.578646759702e-23,1.315729351940e-13,8.655718637788e-36,1.420145735967e-38
1.851720991561e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.131916716672e-25,0.000000000000e+00,6.576636500796e-23,1.315327300159e-13,8.650429532721e-36,1.479490472727e-38
1.920303250508e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.177013884123e-25,0.000000000000e+00,6.574626856172e-23,1.314925371234e-13,8.645143659580e-36,1.538798946692e-38
1.988885509455e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.222097271084e-25,0.000000000000e+00,6.572617825642e-23,1.314523565128e-13,8.639861016388e-36,1.598071180022e-38
2.057467768401e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.267166881764e-25,0.000000000000e+00,6.570609409017e-23,1.314121881803e-13,8.634581601173e-36,1.657307194859e-38
2.126050027348e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.312222720373e-25,0.000000000000e+00,6.568601606111e-23,1.313720321222e-13,8.629305411962e-36,1.716507013338e-38
2.194632286295e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.357264791121e-25,0.000000000000e+00,6.566594416736e-23,1.313318883347e-13,8.624032446783e-36,1.775670657574e-38
2.263214545242e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.402293098214e-25,0.000000000000e+00,6.564587840705e-23,1.312917568141e-13,8.618762703667e-36,1.834798149672e-38
2.331796804188e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.447307645858e-25,0.000000000000e+00,6.562581877830e-23,1.312516375566e-13,8.613496180644e-36,1.893889511724e-38
2.400379063135e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.480947675508e-25,-2.168404344971e-19,3.247543996350e-23,6.495087992700e-14,2.109308401646e-36,1.930659219749e-38
2.468961322082e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.503216662914e-25,2.168404344971e-19,3.246551633562e-23,6.493103267124e-14,2.108019501877e-36,1.945120913466e-38
2.537543581028e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.536839608260e-25,0.000000000000e+00,6.558592105587e-23,1.311718421117e-13,8.603026081493e-36,1.981850298556e-38
2.606125839975e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.581813042080e-25,0.000000000000e+00,6.556587974848e-23,1.311317594970e-13,8.597769174385e-36,2.040833768272e-38
2.674708098922e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.626772733220e-25,0.000000000000e+00,6.554584456518e-23,1.310916891304e-13,8.592515479527e-36,2.099781195947e-38
2.743290357869e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.671718685877e-25,0.000000000000e+00,6.552581550410e-23,1.310516310082e-13,8.587264994956e-36,2.158692603605e-38
2.811872616815e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.705290141501e-25,-2.168404344971e-19,3.237546724764e-23,6.475093449527e-14,2.096341759006e-36,2.195327897849e-38
2.880454875762e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.727490575836e-25,2.168404344971e-19,3.236557416875e-23,6.473114833750e-14,2.095060782546e-36,2.209700690572e-38
2.949037134709e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.761044989059e-25,0.000000000000e+00,6.548600942866e-23,1.309720188573e-13,8.576834861781e-36,2.246295826098e-38
3.017619393655e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.805949911698e-25,0.000000000000e+00,6.546599865160e-23,1.309319973032e-13,8.571593958903e-36,2.305099725394e-38
3.086201652602e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.850841112590e-25,0.000000000000e+00,6.544599398930e-23,1.308919879786e-13,8.566356258495e-36,2.363867692375e-38
3.154783911549e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.895718595930e-25,0.000000000000e+00,6.542599543989e-23,1.308519908798e-13,8.561121758602e-36,2.422599748999e-38
3.223366170496e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.929221603159e-25,-2.168404344971e-19,3.227567768577e-23,6.455135537155e-14,2.083438740152e-36,2.459101149224e-38
3.291948429442e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.951353610014e-25,2.168404344971e-19,3.226581509991e-23,6.453163019983e-14,2.082165648124e-36,2.473385477165e-38
3.360530688389e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.984839616668e-25,0.000000000000e+00,6.538628084353e-23,1.307725616871e-13,8.550731445099e-36,2.509846882255e-38
3.429112947336e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.029676153640e-25,0.000000000000e+00,6.536630054087e-23,1.307326010817e-13,8.545506492798e-36,2.568471813119e-38
3.497695206282e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.074498989763e-25,0.000000000000e+00,6.534632634365e-23,1.306926526873e-13,8.540284733222e-36,2.627060921027e-38
3.566277465229e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.119308129223e-25,0.000000000000e+00,6.532635825002e-23,1.306527165000e-13,8.535066164419e-36,2.685614227871e-38
3.634859724176e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.164103576206e-25,0.000000000000e+00,6.530639625810e-23,1.306127925162e-13,8.529850784440e-36,2.744131755525e-38
3.703441983123e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.197524572147e-25,-2.168404344971e-19,3.215611505030e-23,6.431223010059e-14,2.068031470256e-36,2.780473090779e-38
3.772024242069e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,2.219574592774e-25,2.168404344971e-19,3.214628899959e-23,6.429257799918e-14,2.066767792890e-36,2.794651784467e-38
