time_s,position_m,motion_velocity_m_per_s,source_charge_C,load_charge_C,source_current_A,load_current_A,voltage_V,power_W,energy_J
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
6.858225894671e-05,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.371645178934e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,3.717833462839e-24,2.168404344971e-19,1.084196852054e-19,5.420984260270e-15,5.877414070018e-34,2.015431668435e-38
2.057467768401e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115351863279e-23,0.000000000000e+00,1.084202172459e-19,5.421010862297e-15,5.877471753828e-34,6.046314785736e-38
2.743290357869e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487138858426e-23,0.000000000000e+00,5.320431581646e-25,2.660215790823e-20,1.415349610749e-44,8.061766234649e-38
3.429112947336e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682871e-23,0.000000000000e+00,2.610859204493e-30,1.305429602247e-25,3.408292892843e-55,8.061766234698e-38
4.114935536803e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.281209180323e-35,6.406045901617e-31,8.207484818725e-66,8.061766234698e-38
4.800758126270e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,6.287190672404e-41,3.143595336202e-36,1.976438327558e-76,8.061766234698e-38
5.486580715737e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.085270317934e-46,1.542635158967e-41,4.759446467362e-87,8.061766234698e-38
6.172403305204e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.514013719435e-51,7.570068597176e-47,1.146118771319e-97,8.061766234698e-38
6.858225894671e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,7.429616553576e-57,3.714808276788e-52,2.759960106659e-108,8.061766234698e-38
7.544048484138e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.645885200681e-62,1.822942600341e-57,6.646239448274e-119,8.061766234698e-38
8.229871073606e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.789120447966e-67,8.945602239829e-63,1.600475988665e-129,8.061766234698e-38
8.915693663073e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,8.779629091807e-73,4.389814545903e-68,3.854094349485e-140,8.061766234698e-38
9.601516252540e-04,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,4.308367671799e-78,2.154183835900e-73,9.281015997701e-151,8.061766234698e-38
1.028733884201e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.114215965311e-83,1.057107982655e-78,2.234954573987e-161,8.061766234698e-38
1.097316143147e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.037494821352e-88,5.187474106762e-84,5.381977521666e-172,8.061766234698e-38
1.165898402094e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,5.091227774241e-94,2.545613887120e-89,1.296030012460e-182,8.061766234698e-38
1.234480661041e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.498383578957e-99,1.249191789479e-94,3.120960253801e-193,8.061766234698e-38
1.303062919988e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.226014781579e-104,6.130073907893e-100,7.515561223246e-204,8.061766234698e-38
1.371645178934e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,6.016338953351e-110,3.008169476675e-105,1.809816720080e-214,8.061766234698e-38
1.440227437881e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.952357095972e-115,1.476178547986e-110,4.358206211069e-225,8.061766234698e-38
1.508809696828e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.448790117998e-120,7.243950589988e-116,1.049496403004e-235,8.061766234698e-38
1.577391955774e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,7.109549210259e-126,3.554774605130e-121,2.527284498655e-246,8.061766234698e-38
1.645974214721e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,3.488820730153e-131,1.744410365076e-126,6.085935043571e-257,8.061766234698e-38
1.714556473668e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.712045268577e-136,8.560226342886e-132,1.465549500829e-267,8.061766234698e-38
1.783138732615e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,8.401403306067e-142,4.200701653033e-137,3.529178875560e-278,8.061766234698e-38
1.851720991561e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,4.122763504370e-147,2.061381752185e-142,8.498589456481e-289,8.061766234698e-38
1.920303250508e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.023135694568e-152,1.011567847284e-147,2.046539019317e-299,8.061766234698e-38
1.988885509455e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,9.927996195503e-158,4.963998097751e-153,4.928255422896e-310,8.061766234698e-38
2.057467768401e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,4.871898050268e-163,2.435949025134e-158,1.186745681311e-320,8.061766234698e-38
2.126050027348e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.390753395227e-168,1.195376697614e-163,0.000000000000e+00,8.061766234698e-38
2.194632286295e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.173198153536e-173,5.865990767681e-169,0.000000000000e+00,8.061766234698e-38
2.263214545242e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,5.757155506748e-179,2.878577753374e-174,0.000000000000e+00,8.061766234698e-38
2.331796804188e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,2.825169765991e-184,1.412584882996e-179,0.000000000000e+00,8.061766234698e-38
2.400379063135e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115357336596e-23,-2.168404344971e-19,-1.084196852054e-19,-5.420984260270e-15,5.877414070018e-34,1.007719790313e-37
2.468961322082e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.435721658849e-24,2.168404344971e-19,-5.320405473182e-25,-2.660202736591e-20,1.415335719953e-44,1.209262957162e-37
2.537543581028e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115353687733e-23,0.000000000000e+00,1.084196852028e-19,5.420984260139e-15,5.877414069735e-34,1.410806124000e-37
2.606125839975e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487138858435e-23,0.000000000000e+00,5.320405473053e-25,2.660202736527e-20,1.415335719885e-44,1.612349290839e-37
2.674708098922e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682871e-23,0.000000000000e+00,2.610846392401e-30,1.305423196201e-25,3.408259442358e-55,1.612349290844e-37
2.743290357869e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.281202893133e-35,6.406014465663e-31,8.207404266858e-66,1.612349290844e-37
2.811872616815e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115357336596e-23,-2.168404344971e-19,-1.084196852054e-19,-5.420984260270e-15,5.877414070018e-34,1.813892457687e-37
2.880454875762e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.435721658849e-24,2.168404344971e-19,-5.320405473182e-25,-2.660202736591e-20,1.415335719953e-44,2.015435624536e-37
2.949037134709e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115353687733e-23,0.000000000000e+00,1.084196852028e-19,5.420984260139e-15,5.877414069735e-34,2.216978791374e-37
3.017619393655e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487138858435e-23,0.000000000000e+00,5.320405473053e-25,2.660202736527e-20,1.415335719885e-44,2.418521958213e-37
3.086201652602e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682871e-23,0.000000000000e+00,2.610846392401e-30,1.305423196201e-25,3.408259442358e-55,2.418521958218e-37
3.154783911549e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.281202893133e-35,6.406014465663e-31,8.207404266858e-66,2.418521958218e-37
3.223366170496e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115357336596e-23,-2.168404344971e-19,-1.084196852054e-19,-5.420984260270e-15,5.877414070018e-34,2.620065125061e-37
3.291948429442e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.435721658849e-24,2.168404344971e-19,-5.320405473182e-25,-2.660202736591e-20,1.415335719953e-44,2.821608291910e-37
3.360530688389e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115353687733e-23,0.000000000000e+00,1.084196852028e-19,5.420984260139e-15,5.877414069735e-34,3.023151458749e-37
3.429112947336e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487138858435e-23,0.000000000000e+00,5.320405473053e-25,2.660202736527e-20,1.415335719885e-44,3.224694625587e-37
3.497695206282e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682871e-23,0.000000000000e+00,2.610846392401e-30,1.305423196201e-25,3.408259442358e-55,3.224694625592e-37
3.566277465229e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,1.281202893133e-35,6.406014465663e-31,8.207404266858e-66,3.224694625592e-37
3.634859724176e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.487140682880e-23,0.000000000000e+00,6.287159819701e-41,3.143579909850e-36,1.976418929923e-76,3.224694625592e-37
3.703441983123e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,1.115357336596e-23,-2.168404344971e-19,-1.084196852054e-19,-5.420984260270e-15,5.877414070018e-34,3.426237792436e-37
3.772024242069e-03,0.000000000000e+00,0.000000000000e+00,-1.900000000000e-07,7.435721658849e-24,2.168404344971e-19,-5.320405473182e-25,-2.660202736591e-20,1.415335719953e-44,3.627780959284e-37
