load,resistance_ohm,experimental_peak_current_uA,load_current_peak_uA,peak_current_error_percent,load_current_mean_abs_uA,load_current_rms_uA,voltage_peak_V,voltage_rms_V,experimental_mean_power_mW,power_peak_mW,power_mean_mW,mean_power_error_percent,energy_uJ
10K,1.000000000000e+04,7.844696000000e+00,4.219456657879e+00,-4.621261731647e+01,1.108158307516e+00,1.743367455871e+00,4.219456657879e-02,1.743367455871e-02,1.141072555674e-04,1.780381448772e-04,3.039330086190e-05,-7.336426968576e+01,1.042220614978e-02
20K,2.000000000000e+04,8.086288000000e+00,4.219456657879e+00,-4.781960946878e+01,1.108158307516e+00,1.743367455871e+00,8.438913315759e-02,3.486734911742e-02,2.258114479733e-04,3.560762897545e-04,6.078660172381e-05,-7.308081487038e+01,2.084441229957e-02
50K,5.000000000000e+04,7.811016000000e+00,4.219456653461e+00,-4.598069376044e+01,1.108158307516e+00,1.743367455864e+00,2.109728326730e-01,8.716837279320e-02,5.633385558824e-04,8.901907225218e-04,1.519665043083e-04,-7.302394754958e+01,5.211103074849e-02
100K,1.000000000000e+05,7.947490000000e+00,4.219454653814e+00,-4.690833642051e+01,1.108158307516e+00,1.743367452627e+00,4.219454653814e-01,1.743367452627e-01,1.105255364687e-03,1.780379757559e-03,3.039330074878e-04,-7.250110542789e+01,1.042220611099e-01
200K,2.000000000000e+05,7.851767000000e+00,4.219409770269e+00,-4.626165332887e+01,1.108158307516e+00,1.743367380295e+00,8.438819540539e-01,3.486734760590e-01,2.211269294305e-03,3.560683761889e-03,6.078659645354e-04,-7.251054106793e+01,2.084441049233e-01
500K,5.000000000000e+05,7.915226000000e+00,4.218948664790e+00,-4.669831708166e+01,1.108158307516e+00,1.743366593195e+00,2.109474332395e+00,8.716832965973e-01,5.628881454341e-03,8.899763918066e-03,1.519663539133e-03,-7.300238863689e+01,5.211097917636e-01
1M,1.000000000000e+06,7.776751000000e+00,4.218075729566e+00,-4.576043736560e+01,1.108158307516e+00,1.743363673561e+00,4.218075729566e+00,1.743363673561e+00,1.103357049114e-02,1.779216286035e-02,3.039316898291e-03,-7.245391325743e+01,1.042216092699e+00
2M,2.000000000000e+06,7.764402000000e+00,4.215877744217e+00,-4.570247980183e+01,1.108158307516e+00,1.743351978938e+00,8.431755488434e+00,3.486703957875e+00,2.209576155925e-02,3.554725030837e-02,6.078552244932e-03,-7.248996270786e+01,2.084404220415e+00
5M,5.000000000000e+06,7.754846000000e+00,4.208707448244e+00,-4.572803317766e+01,1.108158307516e+00,1.743270270729e+00,2.104353724122e+01,8.716351353644e+00,5.536250277719e-02,8.856609192452e-02,1.519495618403e-02,-7.255370436343e+01,5.210522098487e+00
10M,1.000000000000e+07,7.714301000000e+00,4.196128063118e+00,-4.560585511094e+01,1.108158307516e+00,1.742979746327e+00,4.196128063118e+01,1.742979746327e+01,1.036326576090e-01,1.760749072208e-01,3.037978396105e-02,-7.068512507354e+01,1.041757105181e+01
20M,2.000000000000e+07,7.567594000000e+00,4.169104573198e+00,-4.490845342393e+01,1.108158307514e+00,1.741829981579e+00,8.338209146395e+01,3.483659963157e+01,2.145919635885e-01,3.476286588451e-01,6.067943369453e-02,-7.172334290631e+01,2.080766317189e+01
50M,5.000000000000e+07,6.784829000000e+00,4.076691029683e+00,-3.991460905377e+01,1.108158115466e+00,1.734119859249e+00,2.038345514841e+02,8.670599296247e+01,4.043266317922e-01,8.309704875748e-01,1.503585843122e-01,-6.281259444977e+01,5.155965682079e+01
100M,1.000000000000e+08,6.166582000000e+00,3.900628998607e+00,-3.674568831474e+01,1.108114189857e+00,1.709638097115e+00,3.900628998607e+02,1.709638097115e+02,6.503533211453e-01,1.521490658477e+00,2.922862423108e-01,-5.505731533805e+01,1.002282537773e+02
200M,2.000000000000e+08,5.118685000000e+00,3.535134556315e+00,-3.093666525064e+01,1.105842996788e+00,1.636445242708e+00,7.070269112631e+02,3.272890485415e+02,8.833973625666e-01,2.499435266251e+00,5.355906064760e-01,-3.937149586683e+01,1.836600597027e+02
500M,5.000000000000e+08,3.356822000000e+00,2.678145826925e+00,-2.021781831371e+01,1.041653109871e+00,1.400474376816e+00,1.339072913463e+03,7.002371884081e+02,9.123928459610e-01,3.586232535139e+00,9.806642400593e-01,7.482675297220e+00,3.362780075308e+02
1G,1.000000000000e+09,1.838319000000e+00,1.890540165304e+00,2.840702038311e+00,8.526329027298e-01,1.103155791477e+00,1.890540165304e+03,1.103155791477e+03,9.676700182123e-01,3.574142116626e+00,1.216952700270e+00,2.576112490473e+01,4.172859004263e+02
2G,2.000000000000e+09,1.019599000000e+00,1.195066513393e+00,1.720946307254e+01,5.840708929184e-01,7.540553244084e-01,2.390133026786e+03,1.508110648817e+03,6.895655123556e-01,2.856367942867e+00,1.137198864537e+00,6.491527551203e+01,3.899143347150e+02
5G,5.000000000000e+09,5.330058000000e-01,5.737290621619e-01,7.640303756899e+00,2.898199834093e-01,3.778445932015e-01,2.868645310809e+03,1.889222966007e+03,3.272681095962e-01,1.645825183846e+00,7.138326830580e-01,1.181186196048e+02,2.447383859208e+02
10G,1.000000000000e+10,3.062050000000e-01,3.090903104036e-01,9.422806301769e-01,1.564533879921e-01,2.051008168102e-01,3.090903104036e+03,2.051008168102e+03,1.706202969808e-01,9.553681998541e-01,4.206634505622e-01,1.465494774103e+02,1.442212365545e+02
